ProductDescription,ProductCode,Final Predicted HS Code,Final Confidence Level,F1_2digit,F1_4digit,F1_6digit
1/ Valued $4.20/kg or more,99045239,35030040,0.5980377197265625,0,0,0
1/ Valued 10¢/kg or more,99041768,99129582,0.5965511202812195,1,0,0
1/ Valued 15¢/kg or more,99041704,99129542,0.6330142021179199,1,0,0
1/ Valued 25¢/kg or more,99041720,35030040,0.641492486000061,0,0,0
1/ Valued 30¢/kg or more,99042107,99129542,0.5997478365898132,1,0,0
1/ Valued 35¢/kg or more but,99040211,99129543,0.6195838451385498,1,0,0
1/ Valued 40¢/kg or more,99041821,35030040,0.6595449447631836,0,0,0
1/ Valued 40¢/liter or more,99040403,99040406,0.6006394624710083,1,1,1
1/ Valued 50¢/kg or more,99040229,35030040,0.629863977432251,0,0,0
1/ Valued 55¢/kg or more,99042007,35030040,0.6398879885673523,0,0,0
1/ Valued 70¢/kg or more,99040470,35030040,0.6432998180389404,0,0,0
1/ Valued 75¢/kg or more.................... 1/ No additional duty,99040438,99129544,0.5605650544166565,1,0,0
1/ Valued 90¢/kg or more,99040516,99129544,0.5991373062133789,1,0,0
1/ Valued 95¢/kg or more,99040563,35030040,0.6044282913208008,0,0,0
1/ Valued less than $1.20/kg................ 1/ $3.159/kg,99045235,99041208,0.5822010636329651,1,1,0
1/ Valued less than 10¢/kg............. 1/ 36.6¢/kg,99041723,99129543,0.5939993858337402,1,0,0
1/ Valued not over $1.22/kg....... 1/ 67.8¢/kg (MX),99060440,99129543,0.6029665470123291,1,0,0
1/ Valued not over $1.27/kg....... 1/ 74.1¢/kg (MX),99061917,99129543,0.6002029776573181,1,0,0
1/ Valued not over $1.27/kg....... 1/ 83.5¢/kg (MX),99060421,99129543,0.6004912853240967,1,0,0
1/ Valued not over $1.72/kg....... 1/ 84¢/kg (MX),99060505,99129543,0.5953998565673828,1,0,0
1/ Valued not over $1.76/kg....... 1/ 85.8¢/kg (MX),99060590,99129543,0.5896775722503662,1,0,0
1/ Valued not over 28.3¢/kg....... 1/ 23.9¢/kg (MX),99061818,99129544,0.6337664723396301,1,0,0
1/ Valued not over 31.5¢/kg.. 1/ 26.5¢/kg (MX),99061722,99129543,0.6199274063110352,1,0,0
1/ Valued not over 42.1¢/kg....... 1/ 27.8¢/kg (MX),99061874,99129534,0.6295382976531982,1,0,0
1/ Valued not over 43.75¢/kg...... 1/ 29.7¢/kg (MX),99061726,99129543,0.6353079080581665,1,0,0
1/ Valued not over 47.7¢/kg....... 1/ 30.5¢/kg (MX),99061906,99129543,0.6287401914596558,1,0,0
1/ Valued not over 51.2¢/kg....... 1/ 33¢/kg (MX),99062120,99129543,0.6139176487922668,1,0,0
1/ Valued not over 74.8¢/kg....... 1/ 49.2¢/kg (MX),99062138,99129544,0.6099645495414734,1,0,0
12-Aminododecanoic acid lactam,29337940,29337940,1.0,1,1,1
"1u(s*),3u(Z)-(o)-cyano(3-phenoxypheyl)methyl 3-(2-chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylate",29269016,29081905,0.6921637654304504,1,0,0
"2,2'-Dithiobisbenzothiazole",29342010,29342010,1.000000238418579,1,1,1
2-(Trifluoromethyl)phenothiazine,29343012,29343012,1.0000001192092896,1,1,1
"2-Methyl-4-isothiazoline-3-one, morpholinoethyl chloride hydrochloride, 2-methyl-2,5-dioxo-1-oxa-2-phospholan, (6r-trans)-7-amino-3-methyl-8-oxo-5-thia-1-azabicyclo 4,2,o -oct-2-ene-2-carboxylic acid",29349070,29349970,0.7637106776237488,1,1,0
"3,5-Dibromo-4-hydroxybenzonitrile (Bromoxynil)",29269023,29269023,1.000000238418579,1,1,1
"3,5-Dinitro-o-toluamide",29242903,29242903,1.0000001192092896,1,1,1
"3- or 4-thread twill, incl. cross twill, less than 85% polyester staple fibers mixed mainly or solely with cotton, over 170 g/m2, dyed",55142200,55142200,0.9065415859222412,1,1,1
4-Chlorobenzoic acid,29163916,29163916,1.0000001192092896,1,1,1
5-Benzoyl-4-hydroxy-2-methoxy-benzenesulfonic acid,29145010,29145010,1.0000001192092896,1,1,1
"6-Bromo-5-methyl-1h-imidazo-4,5-b pyridine, 2-sec-butyl-4-tert-butyl-6-(benzotriazol-2-yl)phenol, 2-tert-butyl",29339013,29339912,0.9544954895973206,1,1,0
Accounting machines,84704000,84709001,0.6855663657188416,1,1,0
Acetates of polyhydric alcohols or of polyhydric alcohol ethers,29153947,29153947,1.0,1,1,1
Acid violet 19,37079031,32041213,1.0,0,0,0
Aggregate value over $200,69111038,99038149,0.4927496612071991,0,0,0
"Air conditioning machines incorporating a refrigerating unit, nesi",84158200,84158201,0.9432801008224488,1,1,1
"Air or gas pumps, compressors and fans, nesi",84148090,84148090,0.9465557336807252,1,1,1
Airbags,87089909,87089520,0.6304670572280884,1,1,0
"Almonds, shelled, fresh or dried",8021200,8021200,0.9890426993370056,1,1,1
"Aluminum foil of a thickness exceeding 0.01 mm but not exceeding 0.15 mm, rolled but not further worked, not backed",76071160,76071160,0.8859802484512329,1,1,1
Aluminum powders of lamellar structure; aluminum flakes,76032000,76032000,0.984425961971283,1,1,1
"Aminohydroxynaphthalene sulfonic acids and their salts, nesi",29222150,29222150,0.954394280910492,1,1,1
"Ammonium nitrate, whether or not in aqueous solution",31023000,31023000,1.000000238418579,1,1,1
Aniline salts,29214120,29214120,0.9999999403953552,1,1,1
Anoraks (including ski-jackets) windbreakers and similar articles (including padded sleeveless jackets) imported as parts of suits,62112004,62112004,0.7272560000419617,1,1,1
"Apple juice, unfermented and not containing added spirit",20097000,20091100,0.8030822277069092,1,1,0
"Apricot, peach or plum stones and kernels",12123000,12129930,0.8563687801361084,1,1,0
"Apricots, dried",8131000,8131000,1.0,1,1,1
"Aromatic alcohol, ether and ketone peroxides and their halogenated, sulfonated, nitrated, nitrosated derivatives, in add. US note 3 sec. VI",29096010,29096010,1.0,1,1,1
"Aromatic amino-acids and their esters, exc. those with more than one oxygen function; salts, described in add. U.S. note 3, sec. VI",29224930,29224930,0.9700931310653688,1,1,1
"Aromatic drugs derived from carboxylic acids with additional oxygen function, and their derivatives, nesi",29189030,29189930,0.9446806907653807,1,1,0
Aromatic fungicides of nitrile-function compounds,29269021,29269021,1.0,1,1,1
"Aromatic or modified aromatic heterocyclic compounds nesi, with nitrogen hetero-atom(s) only, cont. pyrimidine or piperazine ring",29335980,29335980,0.939549446105957,1,1,1
"Aromatic pesticides of organo-sulfur compounds, nesi",29309010,29309010,0.9573270678520204,1,1,1
"Articles of apparel, of reptile leather",42031020,42031020,1.0,1,1,1
Articles of cadmium nesi,81079000,81126990,0.8680962324142456,1,0,0
"Articles of gold, including metal clad with gold, nesi",71159010,71159060,0.8189998865127563,1,1,1
Articles of goldsmiths' or silversmiths' wares of base metal clad with precious metal,71142000,71142000,0.9711713790893556,1,1,1
"Articles of iron or steel, nesi, coated or plated with precious metal",73269060,73269060,0.9387685656547546,1,1,1
"Articles of travertine simply cut or sawn, with a flat or even surface, dressed or polished, not further worked",68029120,68022110,0.7581280469894409,1,1,0
"Articles of yarn, strip, twine, cordage, rope or cables nesi, of man-made fibers",56090030,56090030,0.9733644723892212,1,1,1
"Artificial fire logs, composed of wax and sawdust, with or without added materials",44013020,44013920,1.000000238418579,1,1,0
"Artificial flowers, foliage, fruit and parts thereof, and articles therefrom, of materials nesi",67029065,67029065,0.8615444302558899,1,1,1
Artificial waxes and prepared waxes of polyethylene glycol,34042000,34042000,1.0000001192092896,1,1,1
"Automatic circuit breakers, for a voltage not exceeding 1,000 V",85362000,85362000,1.000000238418579,1,1,1
"Auxiliary machinery for machines of heading 8444, 8445, 8446 or 8447, nesi",84481900,84481900,0.9627507925033568,1,1,1
"Babies' blouses and shirts, except those imported as parts of sets, not knitted or crocheted, of cotton",62092020,62092020,1.0,1,1,1
Badminton nets of cotton,95069908,95069908,0.98781019449234,1,1,1
"Bars and rods, nesi, of ball-bearing steel, not further worked than hot-rolled, hot-drawn or extruded",72283020,72283020,0.8753948211669922,1,1,1
Baseballs and softballs,95066920,95066920,1.0,1,1,1
Basic paper to be sensitized for use in photography,48235920,48101460,0.7978506088256836,1,0,0
"Beans, prepared or preserved by vinegar or acetic acid",20019030,20019030,1.0000001192092896,1,1,1
"Bedspreads, not knitted or crocheted, of manmade fibers, nesi",63041920,63041920,0.9639541506767272,1,1,1
"Belt type continuous-action elevators and conveyors, for goods or materials",84283300,84283300,1.0000001192092896,1,1,1
Benzenesulfonyl chloride,29041008,29041008,1.0000001192092896,1,1,1
Beryllium oxide and hydroxide,28259010,28259010,1.0,1,1,1
Bis(bromoacetoxy)butene,29153960,29153960,1.0,1,1,1
"Blades for knives having fixed blades, of base metal",82119410,82119410,0.975220799446106,1,1,1
"Bleached plain weave fabrics of cotton, 85% or more cotton by weight, weighing more than 200 g/m2",52092100,52092100,1.0,1,1,1
"Bleached plain weave fabrics of cotton, under 85% cotton by weight, mixed mainly with man-made fibers, over 200 g/m2",52112100,52112021,0.9941996335983276,1,1,0
"Bleached satin or twill weave fabrics of cotton, under 85% cotton by weight, mixed mainly with man-made fibers, not more than 200 g/m2",52102920,52102920,0.9942209720611572,1,1,1
"Blinds (including venetian blinds), of plastics",39253010,39253010,0.9999999403953552,1,1,1
"Bodies (including cabs), for the vehicles of heading 8703",87071000,87079050,0.8428853750228882,1,1,0
"Boiled clams in immediate airtight containers, the contents of which do not exceed 680 g gross weight",16059010,16055615,1.0000001192092896,1,1,0
"Bones & horn-cores, unworked, defatted, simply prepared (but not cut to shape) or degelatinized; powder & waste of these products",5069000,5069000,0.9999999403953552,1,1,1
"Bovine (except buffalo) leather, nesi, and equine leather, w/o hair, pretanned, tanned or retanned, not further prepared",41042990,41079970,0.9004194140434265,1,0,0
"Brewery machinery, nesi",84384000,84384000,0.9088791608810424,1,1,1
Bromides of sodium or of potassium,28275100,28275100,0.994930863380432,1,1,1
"Brushes constituting parts of machines, appliances or vehicles, nesi",96035000,96035000,0.915946125984192,1,1,1
"Brussels sprouts, uncooked or cooked by steaming or boiling in water, frozen, reduced in size",7108085,7108085,1.0,1,1,1
"Buta-l,3-diene",29012410,29012410,1.0,1,1,1
Butene (Butylene) and isomers thereof,29012300,29012300,1.0,1,1,1
"Butt welding tube or pipe fittings of iron or steel (except stainless steel), inside diameter of 360 mm or more, nesi",73079390,73079390,0.847426176071167,1,1,1
Butt welding tube or pipe fittings of stainless steel,73072300,73072300,0.9153280258178712,1,1,1
"Buttons of acrylic resin, of polyester resin, or of both such resins, covered with textile material",96062920,96062920,0.9837664365768432,1,1,1
Butylene glycol,29053910,29053910,1.0,1,1,1
Butylene oxide,29109010,29109010,0.9999998807907104,1,1,1
Calcareous monumental or building stone of apparent spec. gravity <2.5 (except granite or sandstone) in blocks or slabs,25169000,25152000,0.8142333626747131,1,0,0
"Calcium hydrogenorthophosphate (""Dicalcium phosphate"")",28352500,28352500,0.991740345954895,1,1,1
Cane molasses imported for (a) the commercial extraction of sugar or (b) human consumption,17031030,17031030,1.0,1,1,1
Carbonaceous pastes for electrodes and similar pastes for furnace linings,38013000,38013000,1.000000238418579,1,1,1
"Carpet sweepers, not electromechanical having self-contained electric motor",84798970,84798970,1.0000001192092896,1,1,1
Casein glues,35019020,35019020,0.9999999403953552,1,1,1
Cassava (manioc) starch,11081400,11081400,0.9999998807907104,1,1,1
"Castor beans, whether or not broken",12073000,12019000,0.5664874911308289,1,0,0
"Catheters, cannulae and the like nesi, used in medical, surgical, dental or veterinary sciences, and parts and accessories thereof",90183900,90183900,0.9473041296005248,1,1,1
Cement copper (precipitated copper),74012000,74010000,0.8583480715751648,1,1,0
"Ceramic household table and kitchenware, in specified sets as listed in add. note 8(b), valued over $38, not of porcelain or china",69120039,69120039,0.8668799400329591,1,1,1
"Ceramic troughs, tubes and like receptacles used in agriculture; ceramic pots, jars, & like articles used in conveyance or packing of goods",69099000,69099000,0.8137177228927612,1,1,1
"Chassis fitted with engines, for the vehicles of heading 8703",87060015,87060025,0.8910357356071472,1,1,1
"Chassis fitted with engines, for tractors suitable for agricultural use",87060030,87060030,0.9814830422401428,1,1,1
"Chemical elements doped for use in electronics, in the form of discs, wafers etc., chemical compounds doped for electronic use",38180000,38180000,1.0000001192092896,1,1,1
Chloride oxides and chloride hydroxides of vanadium,28274910,28274910,1.0,1,1,1
Chlorosulfuric acid,28062000,28062000,1.0,1,1,1
Cigarette paper in the form of booklets or tubes,48131000,48131000,1.0,1,1,1
"Cinnamon and cinnamon-tree flowers, crushed or ground",9062000,9062000,1.0,1,1,1
"Clasps and frames with clasps, incorporating locks, of base metal",83015000,83015000,0.9777957797050476,1,1,1
"Coated multi-ply paper and paperboard, nesi, in rolls or sheets",48109140,48109265,0.8457982540130615,1,1,0
Cobalt ores and concentrates,26050000,26050000,1.0000001192092896,1,1,1
"Cod, cusk, haddock, pollock and Atlantic Ocean perch (rosefish)",3042030,3044901,0.7824797630310059,1,1,0
Colloidal or semi-colloidal graphite,38012000,38012000,1.0,1,1,1
"Coloring matter and preparations, nesi, as specified in note 3 to this chapter 32",32064950,32064960,0.9400247931480408,1,1,1
Combed wool in fragments,51052100,51052100,1.0,1,1,1
"Combinations of thermometers, barometers and similar temperature and atmosphere measuring and recording instruments, nonelectrical",90258050,90258050,1.0,1,1,1
Complete dumpers designed for off-highway use,87041050,87041050,0.8378612995147705,1,1,1
"Complete watch movements, unassembled or partly assembled (movement sets)",91101100,91101100,1.0,1,1,1
"Compression-ignition internal-combustion piston engines used for propulsion of vehicles of chapter 87, nesi",84082090,84082090,0.9743430614471436,1,1,1
Containing 70 percent or more by weight of silk or silk waste,62079970,62139007,0.8333443403244019,1,0,0
Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver),74032300,74082210,0.9516606330871582,1,0,0
"Corrugated paper and paperboard, whether or not perforated, in rolls or sheets",48081000,48081000,1.0000001192092896,1,1,1
"Cotton damask tablecloths and napkins, not knitted or crocheted",63025110,63025110,0.9782434701919556,1,1,1
Cotton garnetted stock,52029100,52029100,1.0000001192092896,1,1,1
"Crabmeat, frozen",3061420,3061420,1.0,1,1,1
"Crowbars, track tools and wedges, and parts thereof, of base metal",82055930,82055930,0.980088710784912,1,1,1
"Cruise ships, excursion boats and similar vessels principally designed for the transport of persons; ferry boats of all kinds",89011000,89011000,0.9601288437843324,1,1,1
"Cucumbers, including gherkins, fresh or chilled, if entered March 1 to April 30, inclusive, in any year",7070040,7070040,1.0,1,1,1
Cups valued over $8 but not over $29 per dozen saucers valued over $5.25 but not over $18.75 per dozen soups oatmeals and cereals valued over $9.30 but not over $33 per dozen plates not over 22.9cm in,69111052,69120039,0.6770778298377991,1,0,0
"Curtains (including drapes), interior blinds and valances of cotton, not knitted or crocheted",63039100,63039100,1.0,1,1,1
"Cuttle fish and squid, live, fresh or chilled",3074100,3074200,0.9743931889533995,1,1,0
"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives and salts, from any nonaromatic compounds",29213050,29213050,1.0,1,1,1
Cyclohexane,29021100,29021100,1.0,1,1,1
Cyclohexanone,29142210,29142210,1.0,1,1,1
"DC motors, nesi, 149.2 kW or more but not exceeding 150 kW",85013330,85013330,0.9626048803329468,1,1,1
Decabromodiphenyl oxide; and octabromodiphenyl oxide,29093007,29093007,1.0,1,1,1
"Deciduous veneer strips and sheets, not over 6 mm thick",44089000,44089001,0.6960115432739258,1,1,1
"Densified wood, in blocks, plates, strips or profile shapes",44130000,44130000,1.0000001192092896,1,1,1
Described in additional U.S note 10 to chapter 4 and entered pursuant to its provisions,21069064,98220125,0.4900965690612793,0,0,0
Described in additional U.S note 14 to chapter 4 and entered pursuant to its provisions,21069024,98220530,0.4982087016105652,0,0,0
Described in additional U.S note 17 to this chapter and entered pursuant to its provisions,4069072,99990056,0.6163193583488464,0,0,0
Described in additional U.S note 18 to this chapter and entered pursuant to its provisions,4063024,99150441,0.5384131669998169,0,0,0
Described in additional U.S note 2 to this chapter and entered pursuant to its provisions,23099044,98220125,0.5999715328216553,0,0,0
Described in additional U.S note 22 to this chapter and entered pursuant to its provisions,4062081,99990062,0.5959457159042358,0,0,0
Described in additional U.S note 3 to this chapter and entered pursuant to its provisions,18062085,98220125,0.5367065668106079,0,0,0
Described in additional U.S note 5 to this chapter and entered pursuant to its provisions,7112018,99170459,0.5011755228042603,0,0,0
Described in additional U.S note 6 to this chapter and entered pursuant to its provisions,4039074,98220530,0.5446994304656982,0,0,0
Described in additional U.S note 7 to chapter 17 and entered pursuant to its provisions,19012020,98220530,0.4970496892929077,0,0,0
Described in additional U.S note 7 to this chapter and entered pursuant to its provisions,4021010,99990056,0.5714420080184937,0,0,0
Described in additional U.S note 8 to chapter 17 and entered pursuant to its provisions,18069055,99150441,0.5193716883659363,0,0,0
Described in additional U.S note 9 to this chapter and entered pursuant to its provisions,4022175,98220125,0.5079765319824219,0,0,0
Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions,52029910,98220125,0.5143834948539734,0,0,0
Described in general note 15 of the tariff schedule and entered pursant to its provisions,19011005,99990062,0.6270293593406677,0,0,0
"Desonide, epinephrine, epinephrine hydrochloride, nandrolone phenpropionate, and 1-thyroxine (levothyroxine), sodium",29379925,29379040,0.7103198766708374,1,1,0
"Diphenyldichlorosilane, and phenyltrichlorosilane",29310005,29319005,0.9953624606132508,1,1,0
"Direct dyes and preparations based thereon, nesi",32041450,32041450,0.9412370920181274,1,1,1
"Disinfectants, containing any aromatic or modified aromatic disinfectant",38084010,38089410,1.0000001192092896,1,1,0
"Disodium sulfate, crude (Salt cake)",28331110,28331110,1.0,1,1,1
Disposable briefs and panties designed for one-time use,62101070,61082210,0.8166727423667908,0,0,0
"Distillate and residual fuel oils (including blends) derived from bituminous minerals, testing under 25 degrees A.P.I.",27100005,27101906,0.9598989486694336,1,1,0
"Dobbies and Jacquards, card reducing, copying, punching or assembling machines for use with machines of heading 8444, 8445, 8446 or 8447",84481100,84481100,1.0,1,1,1
Double or complex silicates,28421000,28421000,0.9999999403953552,1,1,1
"Drawing paper, weighing over 150 g/m2, cont. n/o 10% by weight total fiber content obtained by mechanical process, in rolls or sheets",48025320,48025520,0.8656468391418457,1,1,0
"Drawn and blown glass sheets nesi, in rectangular shape, not over 1.5 mm in thickness, over 0.26 m2 in area",70049010,70049020,0.8068335652351379,1,1,1
"Dried fennel, marjoram, parsley, savory and tarragon, crude or not manufactured",7129060,7129060,1.0,1,1,1
"Drinking glasses of glass nesi, valued over $3 but not over $5 each, not cut or engraved",70132950,70133760,0.8752550482749939,1,1,0
Drugs,29349030,30045040,0.5258325338363647,0,0,0
"Dyed plain weave fabrics of cotton, nesi, 85% or more cotton by weight, over 100 g/m2 but not more than 200 g/m2, of number 42 or lower",52083230,52083230,0.983415186405182,1,1,1
Edge-glued lumber,44189020,44219994,0.8372004628181458,1,0,0
"Edible offal of swine, fresh or chilled",2063000,2063000,1.0000001192092896,1,1,1
Electrical central office telephone switching apparatus,85173015,90304000,0.6459472179412842,0,0,0
"Electrical ignition or starting equipment of a kind used for spark-ignition internal-combustion or compression-ignition engines, nesi",85118060,85118060,0.953649640083313,1,1,1
Electrical lighters,96138020,96139040,0.7997606992721558,1,1,0
"Electrical telephonic switching apparatus, nesi",85173030,85437060,0.6860698461532593,1,0,0
Electronic calculators capable of operation without an external source of power,84701000,84701000,0.7935938239097595,1,1,1
Essential oils of lemon,33011300,33011300,1.0,1,1,1
Essential oils of orris,33012920,33012920,1.0000001192092896,1,1,1
Estrogens and progestins obtained directly or indirectly from animal or vegetable materials,29379210,29372310,1.0000001192092896,1,1,0
"Ethoxyquin (1,2-Dihydro-6-ethoxy-2,2,4-trimethylquinoline)",29334010,29334910,1.0,1,1,0
Ethyl 2- 4- (6chloro-2-benzoxazolyl)-oxy phenoxy propanoate (fenoxaprop ethyl),29349007,29349907,0.9509328603744508,1,1,0
Ethylene dibromide,29033005,29036210,0.8276827931404114,1,1,0
Ethylenebistetrabromophthalimide,29251910,29251910,1.0000001192092896,1,1,1
Ethylenediamine and its salts,29212100,29212100,1.0,1,1,1
"Fabrics specified in note 9 to section XI, of synthetic filament yarn, nesi",54073090,54073090,0.9370577931404114,1,1,1
"Fabrics specified in note 9 to section XI, of synthetic filament yarn, over 60 percent by weight of plastics",54073010,54073010,0.978206992149353,1,1,1
Fastener fabric tapes,58061024,58061024,0.7689419388771057,1,1,1
"Ferments, excluding yeasts",30029010,30029010,1.000000238418579,1,1,1
Ferrochromium containing by weight more than 3 percent but not more than 4 percent of carbon,72024910,72024910,1.0,1,1,1
Fescue seed of a kind used for sowing,12092300,12092300,0.975760579109192,1,1,1
"Fiberboard of a density exceeding 0.5 but not exceeding 0.8 g/cm3, not mechanically worked or surface covered",44112100,44119210,0.9873042702674866,1,1,0
"Figs, provisionally preserved, but unsuitable in that state for immediate consumption",8129030,8129030,1.0,1,1,1
"Film in rolls, without sprocket holes, of a width exceeding 610 mm and of a length exceeding 200 m, for color photography",37024100,37024101,1.0000001192092896,1,1,1
"Filter blocks, slabs and plates of paper pulp",48120000,48120000,1.0,1,1,1
"Filtering or purifying machinery and apparatus for liquids, nesi",84212900,84212900,0.9483883380889891,1,1,1
"Fish balls, cakes and puddings, not in oil, not in immediate containers, weighing with their contents not over 6.8 kg each",16042030,16042030,1.0000001192092896,1,1,1
"Fish hooks, snelled",95072040,95072040,1.0,1,1,1
"Fish landing nets, butterfly nets and similar nets",95079060,95079060,1.0000001192092896,1,1,1
"Fish sticks and similar products of any size or shape, if breaded, coated with batter or similarly prepared, not cooked nor in oil",16042040,16042040,1.0000001192092896,1,1,1
Fishing reels valued not over $2.70 each,95073020,95073020,0.9807217121124268,1,1,1
"Fixed focus, hand held, 110 cameras",90065210,90065905,1.0,1,1,0
"Fixed, multiple and variable ratio speed changers, not imported for use with machines for making cellulosic pulp, paper or paperboard",84834050,84834050,1.0,1,1,1
"Flat-rolled products of alloy steel nesi, of a width of 300 mm but less than 600 m, cold-rolled",72269250,72209000,0.8171868324279785,1,0,0
"Flat-rolled products of alloy steel nesi, of a width of less than 300 mm, hot-rolled, less than 4.75 mm thick",72269180,72269901,0.7821648120880127,1,1,0
Flat-rolled products of iron or nonalloy steel plated or coated with chromium oxides or with chromium and chromium oxides,72105000,72105000,0.8549368977546692,1,1,1
