1996 Item,Predicted HS Code,Associated 2023 Description,Confidence Score
"Food coloring solutions, containing cochineal carmine lake and paprika oleo resins, but not including any synthetic organic coloring matter",32050005,"Carmine food coloring solutions, cont cochineal carmine lake and paprika oleoresins, not including any synthetic organic coloring matter",0.7694727778434753
"Women's or girls' nightdresses and pajamas, not knitted or crocheted, of man-made fibers",62082200,"Women's or girls' nightdresses and pajamas, not knitted or crocheted, of man-made fibers",0.8709223866462708
Electrical central office telephone switching apparatus,90304000,Instruments and apparatus specially designed for telecommunications,0.6626895070075989
Of cotton or man-made fibers,59032025,"Textile fabrics of man-made fibers, impregnated, coated, covered or laminated with polyurethane, n/o 70% by weight rubber or plastics",0.6908711791038513
1/ Valued $1/liter or more,22086010,"Vodka, in containers each holding not over 4 liters, valued not over $2.05/liter",0.6170589923858643
"Currant and other berry jams, nesi",20079910,Strawberry jam,0.5918557643890381
Furniture designed to receive refrigerating or freezing equipment,84189100,Furniture designed to receive refrigerating or freezing equipment,0.8046268224716187
"Blinds (including venetian blinds), of plastics",39253010,"Blinds (including venetian blinds), of plastics",0.7724950909614563
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
Simplex decalcomania paper in rolls over 36 cm wide or in rectangular sheets over 36 cm on side(s),48099040,Simplex decalcomania paper in rolls over 36 cm wide or in rectangular sheets over 36 cm on side(s),0.8037360310554504
"Letterpress printing machinery, excluding flexographic printing, other than reel-fed",84431400,"Letterpress printing machinery, excluding flexographic printing, reel-fed",0.7727857232093811
"Bleached plain weave fabrics of cotton, under 85% cotton by weight, mixed mainly with man-made fibers, over 200 g/m2",52114100,"Plain weave fabrics of cotton, < 85% cotton by weight, mixed mainly/solely with man-made fibers, over 200g/m2, of yarns of different colors",0.7856622934341431
Insulated (including enameled or anodized) coaxial cable and other coaxial conductors,85442000,Insulated (including enameled or anodized) coaxial cable and other coaxial conductors,0.8041546940803528
Other,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.41179952025413513
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
"Yarn (other than sewing thread) of artificial staple fibers, put up for retail sale",55113000,"Yarn (other than sewing thread) of artificial staple fibers, put up for retail sale",0.7754256725311279
Other,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.41179952025413513
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
"Razor clams, in airtight containers, prepared or preserved, nesi",16055610,"Razor clams, in airtight containers, prepared or preserved, nesoi",0.8774662613868713
Natural honey,4090000,Natural honey,0.7622572779655457
"Nails, tacks, corrugated nails, staples and similar articles of iron or steel, suitable for use in powder-actuated hand tools, threaded",73170030,"Iron or steel, nails, tacks, corrugated nails, staples & similar arts., threaded, suitable for use in powder-actuated hand tools",0.9278644919395447
Articles of goldsmiths' or silversmiths' wares of base metal clad with precious metal,71142000,Goldsmiths' or silversmiths' wares of base metal clad with precious metal,0.7076365947723389
"Glucose and glucose syrup, not containing fructose or in the dry state less than 20 percent by weight of fructose, nesi",17024040,"Glucose in solid form & glucose syrup, containing in dry state at least 20% but less than 50% by weight of fructose, nesoi",0.7177585363388062
"Petroleum coke, calcined",27131100,"Coke, petroleum, not calcined",0.6659208536148071
"Yarn(other than sewing thread)cont. 85% or more by wt. of acrylic or modacrylic staple fibers,multiple or cabled,not put up for retail sale",55111000,"Yarn (other than sewing thread) of synthetic staple fibers, containing 85% or more by weight of such fibers, put up for retail sale",0.7619219422340393
"Mutes, collapsible musical instrument stands, and music holders for attachment to musical instruments of heading 9202",92099220,"Mutes, collapsible musical instru. stands, & music holders for attachment to instru., all the foregoing, for stringed music. instru. of 9202",0.7083773612976074
"Fish landing nets, butterfly nets and similar nets",95079060,"Fish landing nets, butterfly nets and similar nets",0.7512792348861694
"Tunas and skipjack, not in oil, in airtight containers, n/o 7 kg, not of U.S. possessions, over quota",16041440,"Tunas and skipjack, not in airtight containers, not in oil, in bulk or in immediate containers weighing with contents over 6.8 kg each",0.8923370242118835
"Pineapples, fresh or dried, reduced in size",8043060,"Pineapples, fresh or dried, reduced in size",0.8642925024032593
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
1/ Other..................... 1/ 4.4¢/kg (MX),99129542,MA apricots in subheading 2008.50.40>= 24.5 cents/kg<39.2 cents/kg,0.6145870685577393
"Woven fabrics, containing 85 percent or more by weight of filaments of nylon or other polyamides, of yarns of different colors, nesi",59031020,"Textile fabrics nesoi,of man-made fibers,impregnated, coated, covered or laminated with polyvinyl chloride, over 70% wt. rubber or plastics",0.7407785654067993
1/ Subject to the quantitative,99130455,Australia goods: Of subheading 0406.90.33 subject to the quantitative limits specified in U.S. note 14 to this subchapter,0.5462548136711121
"Lard stearin, lard oil, oleostearin, oleo-oil, and tallow oil, not emulsified or mixed or otherwise prepared",15030000,"Lard stearin, lard oil, oleostearin, oleo-oil, and tallow oil, not emulsified or mixed or otherwise prepared",0.8491638898849487
1/ Flexible closed-cell rubber tubing designed,40093200,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, reinforced or combined only with textile materials, with fittings",0.6378130912780762
Cane molasses imported for (a) the commercial extraction of sugar or (b) human consumption,17031030,Cane molasses imported for (a) the commercial extraction of sugar or (b) human consumption,0.8498780727386475
1/ Subject to the quantitative,99130455,Australia goods: Of subheading 0406.90.33 subject to the quantitative limits specified in U.S. note 14 to this subchapter,0.5462548136711121
"Rattan webbing for mats, matting and screens",46012240,"Woven or partly assembled materials of rattan for mats, matting and screens",0.778877854347229
"Cruise ships, excursion boats and similar vessels principally designed for the transport of persons; ferry boats of all kinds",89011000,"Vessels, designed for the transport of persons, cruise ships, excursion boats and similar vessels; ferry boats of all kinds",0.8489388227462769
Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions,99990062,Imports of textile and apparel goods from Mexico described in additional US note 4(b) to section XI under terms of (d) in such note,0.477014422416687
1/ Parts of molten-salt-cooled acrylic acid,29161100,Acrylic acid and its salts,0.6789219975471497
"Mechano-therapy appliances and massage apparatus, and parts and accessories thereof",90191020,"Mechano-therapy appliances and massage apparatus, and parts and accessories thereof",0.9001487493515015
Machines and appliances for testing the mechanical properties of materials other than metals,90248000,Machines and appliances for testing the mechanical properties of materials other than metals,0.8532677888870239
"Oil well tubing of iron or nonalloy steel, open seamed or closed, nesi",73042460,"Stainless steel, seamless tubing, of a kind used in drilling for oil or gas",0.6462855339050293
"Women's or girls' dresses, knitted or crocheted, of synthetic fibers, containing 23 percent or more of wool or fine animal hair",61044310,"Women's or girls' dresses, knitted or crocheted, of synthetic fibers, containing 23 percent or more of wool or fine animal hair",0.8758915066719055
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
"Men's or boys' suits, knitted or crocheted, of artificial fibers, nesi",62031930,"Men's or boys' suits, of artificial fibers, nesoi, not knitted or crocheted",0.8388562202453613
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
"Wall or ceiling coverings of polymers of vinyl chloride, without a backing of textile fibers",39189020,"Wall or ceiling coverings, with a backing of manmade fibers, of plastics other than polymers of vinyl chloride",0.8757966756820679
"Nonconiferous wood moldings, other than standard type, continuously shaped along any of its edges or faces",44091050,"Coniferous wood moldings, other than standard type, continuously shaped along any of its edges or faces but not on its ends",0.713485836982727
"Fixed, multiple and variable ratio speed changers, not imported for use with machines for making cellulosic pulp, paper or paperboard",84834030,"Fixed, multiple and variable ratio speed changers, imported for use with machines for making cellulosic pulp, paper or paperboard",0.9045406579971313
"Nonwired float glass and surface ground or polished glass, nesi, in sheets, 10 mm or more in thickness",70131050,"Glass-ceramic ware of a kind used for household, office, indoor decoration or similar purposes, nesoi",0.6316991448402405
"Multiple or cabled cotton yarn, 85% or more cotton by weight, of uncombed fibers, yarn over 52 but n/o 80 nm, not put up for retail sale",52053500,"Multiple or cabled cotton yarn, 85% or more cotton by weight, of uncombed fibers, over 80 nm per single yarn, not put up for retail sale",0.7680323719978333
"Photographic discharge lamp (""electronic"") flashlight apparatus",90066100,Photographic discharge lamp (electronic) flashlight apparatus,0.8425419330596924
"Letter clips, letter corners, indexing tags and similar office articles nesi, and parts thereof, of base metal",83059060,"Base metal letter clips, letter corners, indexing tags and similar office articles nesoi, and base metal parts thereof",0.7954044938087463
"Lead bars, rods, profiles and wire",78060003,"Lead, bars, rods, profiles and wire",0.801829993724823
"Peel of lemons, otherwise prepared or preserved, nesi",20083020,"Peel of lemons, otherwise prepared or preserved, nesoi",0.7317982316017151
"Profiles of aluminum, not alloyed",76042910,"Aluminum alloy, profiles (o/than hollow profiles)",0.7250332832336426
"Snails, other than sea snails, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine",3076000,"Snails, other than sea snails, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine",0.8847307562828064
"Track suits, knitted or crocheted, of synthetic fibers",61121200,"Track suits, knitted or crocheted, of synthetic fibers",0.8507217168807983
"Babies' blouses and shirts, except those imported as parts of sets, not knitted or crocheted, of cotton",61112010,"Babies' blouses and shirts, except those imported as parts of sets, knitted or crocheted, of cotton",0.8570443391799927
Containing 70 percent or more by weight of silk or silk waste,50072000,"Woven fabrics containing 85 percent or more by weight of silk or of silk waste, other than noil silk",0.6893320083618164
Other,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.41179952025413513
"Wadding, gauze, bandages, and similar articles, not having an adhesive layer, packed for retail for medical, surgical, like purposes",30059050,"Wadding, gauze, bandages, and similar articles, not having an adhesive layer, packed for retail for medical, surgical, like purposes",0.7922854423522949
"Printed woven fabrics, under 85% by weight polyester staple fibers, nesi, mixed mainly or solely with cotton, over 170g/m2",52115900,"Printed woven fabrics of cotton, nesoi, < 85% cotton by weight, mixed mainly/solely with man-made fibers, weighing more than 200g/m2",0.755266010761261
1/ If entered during the period,99130805,"Australia goods: Of 0804.40.00, entered 1/1 to 1/31 or 9/16 to 12/31, subject to the quota in US note 16 to this subchapter",0.5943714380264282
"Nails, tacks, corrugated nails, staples and similar articles of iron or steel, suitable for use in powder-actuated hand tools, not threaded",73170030,"Iron or steel, nails, tacks, corrugated nails, staples & similar arts., threaded, suitable for use in powder-actuated hand tools",0.8717082738876343
1/ Impact line printers using band drive,84431150,"Reel-fed offset printing machinery, other than double-width newspaper printing presses",0.4954949617385864
1/ Valued not over 51.2¢/kg....... 1/ 33¢/kg (MX),99129543,MA apricots in subheading 2008.50.40>= 39.2 cents/kg<58.8 cents/kg,0.6329660415649414
1/ Provided for in subheading 0404.10.15.... 1/ 38.5¢/kg + 3.2%,99129543,MA apricots in subheading 2008.50.40>= 39.2 cents/kg<58.8 cents/kg,0.5982917547225952
"Standard coniferous wood moldings, other than of pine, continuously shaped along any of its edges or faces",44091045,"Standard coniferous wood moldings, other than of pine, continuously shaped along any of its edges or faces but not on its ends",0.7897951602935791
"Tubes, pipes and hoses of vulcanized rubber, not hard rubber, reinforced with other materials nesi, without fittings",40091200,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, not reinforced or combined w/other materials, with fittings",0.8441715240478516
"Cutting blades other than lawnmower blades for agricultural, horticultural or forestry machines, and parts thereof, of base metal",82084060,"Knives and cutting blades (o/than lawnmower blades) for agricultural, horticultural or forestry machines, and base metal parts thereof",0.7916327714920044
"Brewery machinery, nesi",84384000,"Brewery machinery, nesoi",0.7233394384384155
"Men's or boys' trousers and breeches, not knitted or crocheted, of synthetic fibers, nesi, water resistant",62034375,"Men's or boys' trousers and breeches, not knitted or crocheted, of synthetic fibers, nesoi, water resistant, o/than rec perf outwear",0.8413340449333191
Other nitrophenols,29089920,p-Nitrophenol,0.7048639059066772
Other,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.41179952025413513
Peach jam,20079935,Peach jam,0.6695162653923035
Sealed beam lamp units,85391000,Sealed beam lamp units,0.7807955145835876
"Cucumbers, including gherkins, fresh or chilled, if entered March 1 to April 30, inclusive, in any year",7070040,"Cucumbers, including gherkins, fresh or chilled, if entered March 1 to April 30, inclusive, in any year",0.9067960977554321
Other,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.41179952025413513
"Crowbars, track tools and wedges, and parts thereof, of base metal",82055930,"Crowbars, track tools and wedges, and base metal parts thereof",0.8382672071456909
"1/ Tubes, pipes and hollow profiles of",73042950,"Iron (o/than cast) or nonalloy, seamless tubing, of a kind used in drilling for oil or gas",0.7069518566131592
Fescue seed of a kind used for sowing,12092300,Fescue seeds of a kind used for sowing,0.8317352533340454
4-Chlorobenzoic acid,29163916,4-Chlorobenzoic acid,0.8396795392036438
"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA",85043140,"Electrical transformers other than liquid dielectric, having a power handling capacity less than 1 kVA",0.8411334753036499
Other,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.41179952025413513
"Dental fittings and parts and accessories thereof, other than of plastics",90212980,"Dental fittings and parts and accessories thereof, other than of plastics",0.7932001352310181
"Woven fabrics of artificial staple fibers, less than 85% by weight of such fibers, mixed with man-made filaments, unbleached or bleached",55162100,"Woven fabrics of artificial staple fibers, < 85% by weight of such fibers, mixed mainly/solely with man-made filaments, unbleached/bleached",0.8611780405044556
"Products nesi, of plaiting materials, bound together in parallel strands or woven, in sheet form, of bamboo, rattan, willow or wood",46019420,"Products nesoi, of plaiting materials, bound together in parallel strands or woven, in sheet form, of willow or wood",0.6801550984382629
"Mine wagon pushers, locomotive or wagon traversers, wagon tippers and similar railway wagon handling equipment",87168010,"Farm wagons and carts, not mechanically propelled",0.633938193321228
"Gloves, nesi, of plastics",39262030,"Gloves specially designed for use in sports, nesoi, of plastics",0.7517884373664856
p-Nitrophenols,29089920,p-Nitrophenol,0.7929598689079285
"Electrical telephonic switching apparatus, nesi",85437060,"Electrical machines and apparatus nesoi, designed for connection to telegraphic or telephonic apparatus, instruments or networks",0.6691054105758667
1/ Valued $1.10/kg or more,35030040,Inedible gelatin and animal glue valued 88 cents or more per kg,0.6163039803504944
"1/ Film, of a thickness not exceeding 0.025 mm,",39209910,"Nonadhesive film, noncellular, not combined with other materials, of plastics nesoi, flexible, over 0.152mm thick, not in rolls",0.6124087572097778
1/ Specified in U.S. note 24 to,99990062,Imports of textile and apparel goods from Mexico described in additional US note 4(b) to section XI under terms of (d) in such note,0.571860671043396
"Medicaments containing insulin, in dosage form or packed for retail",30043100,"Medicaments containing insulin, in dosage form or packed for retail",0.8245185613632202
"Plain weave fabrics of cotton, nesi, containing 85% or more cotton by weight, weighing more than 200 g/m2, of yarns of different colors",54077320,"Woven fabrics, containing 85% or more by weight of synthetic filaments, of yarns of different colors, nesoi",0.7530871033668518
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
"Jojoba oil and its fractions, whether or not refined, not chemically modified",15159060,"Jojoba oil and its fractions, whether or not refined, not chemically modified",0.77510666847229
Prune wine,22060030,Prune wine,0.7919814586639404
"Wall or ceiling coverings, with a backing of manmade fibers, greater than 70% by weight of PVC",39181031,"Wall or ceiling coverings, with a backing of manmade fibers, greater than 70% by weight of PVC",0.8666485548019409
"Plates, sheets and strip of vulcanized, noncellular rubber, other than hard rubber",40081150,"Plates, sheets and strip of vulcanized synthetic cellular rubber, other than hard rubber",0.8242197036743164
Seeds of peas of a kind used for sowing,7131010,Seeds of peas of a kind used for sowing,0.7589997053146362
1/ 8-Amino-2-naphthalenesulfonic acid,29214510,"7-Amino-1,3-naphthalenedisulfonic acid, specified naphthalenesulfonic acids and their salts; N-phenyl-2-napthylamine",0.6710168123245239
Hollow profiles,76042100,"Aluminum alloy, hollow profiles",0.6894733309745789
1/ Valued 95¢/kg or more,35030040,Inedible gelatin and animal glue valued 88 cents or more per kg,0.6044282913208008
"Fixed focus, hand held, 110 cameras",90065905,"Fixed focus, hand held, 110 cameras",0.760934591293335
1/ Valued $2.65/kg or more,35030040,Inedible gelatin and animal glue valued 88 cents or more per kg,0.6239103078842163
"Self-copy paper in rolls over 36 cm wide or rectangular sheets over 36 cm on side(s), other than writing paper",48025461,"Carbonizing base paper of a kind used for writing, printing or other graphic purposes, in rolls or sheets nesoi",0.6840137243270874
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
"Flat-rolled products of alloy steel nesi, of a width of less than 300 mm, hot-rolled, less than 4.75 mm thick",72269901,"Alloy steel, width less than 600mm, flat-rolled products further worked than cold-rolled, nesoi",0.7576749920845032
Casein glues,35019020,Casein glues,0.8165584206581116
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
Photographic cameras of a kind used for preparing printing plates or cylinders,90065920,Cameras of a kind used for preparing printing plates or cylinders,0.8262444734573364
1/ Valued not over 31.5¢/kg.. 1/ 26.5¢/kg (MX),99129543,MA apricots in subheading 2008.50.40>= 39.2 cents/kg<58.8 cents/kg,0.6199274063110352
Ethylenebistetrabromophthalimide,29251910,Ethylenebistetrabromophthalimide,0.7775668501853943
"Fish balls, cakes and puddings, not in oil, not in immediate containers, weighing with their contents not over 6.8 kg each",16042020,"Fish balls, cakes and puddings, not in oil, in immediate airtight containers, weighing with their contents not over 6.8 kg each",0.808172345161438
Other,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.41179952025413513
Tents of cotton,63062921,Tents of textile materials other than of cotton or synthetic fibers,0.784020185470581
"Castor beans, whether or not broken",12073000,Castor oil seeds,0.5205034017562866
Strontium nitrate,28342920,Strontium nitrate,0.8217372894287109
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
Missing description,98191133,AGOA goods: textile articles of ch. 50-60 & 63 of lesser developed AGOA defined US note 2 to subchapter and wholly formed from AGOA inputs,0.3893051743507385
"Fish hooks, snelled",95072080,"Fish hooks, not snelled",0.7917676568031311
Rail locomotives powered by electric accumulators (batteries),86012000,Rail locomotives powered by electric accumulators (batteries),0.842126727104187
"Printed 3- or 4-thread twill of cotton, including cross twill, under 85% cotton by weight, mixed mainly with man-made fibers, over 200g/m2",52105910,"Printed 3- or 4-thread twill fabrics of cotton, incl. cross twill, < 85% cotton by wt, mixed mainly/solely w/man-made fibers, n/o 200 g/m2",0.7961767315864563
"Insulating fittings for electrical machines, appliances or equipment, of ceramics nesi",85471080,"Insulating fittings for electrical machines, appliances or equipment, of ceramics nesoi",0.7637979984283447
"Woven fabrics of acrylic or modacrylic staple fibers, nesi",55152900,"Woven fabrics of acrylic or modacrylic staple fibers, nesoi",0.8246029615402222
Cobalt ores and concentrates,26050000,Cobalt ores and concentrates,0.8597546815872192
"Bodies (including cabs), for the vehicles of heading 8703",87071000,"Bodies (including cabs), for mtr. vehicles for transport of persons of heading 8703",0.6773536801338196
