1990 Item,Predicted HS Code,Associated 2023 Description,Confidence Score
"Machine tools operated by electro-chemical, electron-beam, ionic-beam or plasma arc processes, other than for working metal",84569071,"Machine tools operated by electro-chemical or ionic-beam processes, other than for working metal",0.820969820022583
"Yarn of Angora rabbit hair, combed, not put up for retail sale",51082030,"Yarn of Angora rabbit hair, combed, not put up for retail sale",0.7680427432060242
Tomato ketchup,21032020,Tomato ketchup,0.8041849136352539
Natural graphite crystalline flake (not including flake dust),25041010,"Natural graphite, crystalline flake (not including flake dust)",0.8891044855117798
"Nonadhesive plates, sheets, film, foil and strip, noncellular, not combined with other materials, of polycarbonates",39206100,"Nonadhesive plates, sheets, film, foil and strip, noncellular, not combined with other materials, of polycarbonates",0.8204241991043091
"Silver compounds, other than silver nitrate",28432901,"Silver compounds, other than silver nitrate",0.8117634654045105
Vanilla beans,7135020,"Dried broad beans and horse beans, shelled",0.5865551233291626
"Grains of barley, hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked",11042910,"Grains of barley, hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked",0.6713210344314575
"Men's or boys' bib and brace overalls, not knitted or crocheted, of artificial fibers",61034320,"Men's and boys' bib and brace overalls of synthetic fibers, knitted or crocheted",0.8737690448760986
"Nut oils, whether or not refined, not chemically modified",15159021,"Nut oils, whether or not refined, not chemically modified",0.6979405879974365
"Articles of copper nesi, cast, molded, stamped, or forged but not further worked",74192000,"Copper, articles nesoi, cast, molded, stamped, or forged but not further worked",0.6613748669624329
"Depilatories and other perfumery, cosmetic or toilet preparations nesi",33079000,"Depilatories and other perfumery, cosmetic or toilet preparations. nesoi",0.7991822957992554
"Arms nesi, excluding those of heading 9307",93040060,Arms (o/than those of heading 9307) nesoi,0.6923168897628784
"Cotterless-type crank sets, and parts thereof, of vehicles of headings 8711-8713, nesi",87149650,"Pts. & access. for bicycles & o/cycles, cotterless-type crank sets and parts thereof",0.775638997554779
"Woven fabrics of combed wool or fine animal hair, nesi",51129090,"Woven fabrics of combed wool or combed fine animal hair, nesoi",0.8292628526687622
"Interchangeable tools for drilling, other than for rock drilling, nesi, suitable for cutting metal, and parts thereof, of base metal",82075040,"Interchangeable tools for drilling (o/than rock drilling), nesoi, suitable for cutting metal, and base metal parts thereof",0.8305168747901917
"Footwear, nesi, with uppers of leather or composition leather",64061005,"Formed uppers for footwear, of leather/composition leather, for men, youths and boys",0.7609344720840454
Sodium hydrogencarbonate (Sodium bicarbonate),28363000,Sodium hydrogencarbonate (Sodium bicarbonate),0.8278064131736755
"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, certified hand-loomed and folklore products",62064010,"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, certified hand-loomed and folklore products",0.8982257843017578
Uncoated sulfite wrapping paper in rolls or sheets,48053000,Uncoated sulfite wrapping paper in rolls or sheets,0.8190350532531738
"Woven fabrics, containing 85% or more by weight of synthetic fibers, nesi, unbleached or bleached",59031020,"Textile fabrics nesoi,of man-made fibers,impregnated, coated, covered or laminated with polyvinyl chloride, over 70% wt. rubber or plastics",0.7582627534866333
"Brazil nuts, shelled or in shell, fresh or dried",8012100,"Brazil nuts, fresh or dried, in shell",0.8299254179000854
"Women's or girls' trousers, breeches and shorts, not knitted or crocheted, of cotton, nesi, certified hand-loomed and folklore products",62046365,"Women's or girls' trousers, breeches & shorts, not knit or crocheted, of synthetic fibers, nesoi, certified hand-loomed & folklore products",0.8418248295783997
"Coloring preparations based on iron oxides, as specified in note 3 to this chapter 32",32064920,"Coloring preparations based on iron oxides, as specified in note 3 to this chapter 32",0.7614769339561462
Ground flying trainers and parts thereof,88052100,Air combat ground flying simulators and parts thereof,0.8282871246337891
"Rapeseed oil, hydrogenated or hardened",15162010,"Rapeseed oil, hydrogenated or hardened",0.8635812401771545
Analog or linear monolithic electronic integrated circuits,85423900,Electronic integrated circuits: other,0.6955137848854065
"Aromatic carboxylic acids with alcohol function, without other oxygen functions, and their derivatives, nesi",29181931,"Aromatic carboxylic acids with alcohol function, without other oxygen functions, and their derivatives, nesoi",0.7441319227218628
"Fiberboard of a density 0.35 g/cm3 or less, not mechanically worked or surface covered",44119230,"Fiberboard, of a density exceeding 0.8 g/cm3, mechanically edged-worked, for construction uses",0.7400388717651367
"Parts of storage batteries, including separators therefor, other than parts of lead-acid storage batteries",85079080,"Parts of storage batteries, including separators therefor, other than parts of lead-acid storage batteries",0.8337809443473816
"Artificial flowers, foliage, fruit and parts thereof, and articles therefrom, of materials nesi",67029065,"Artificial flowers/foliage/fruit & pts thereof; articles of artif. flowers, etc.; all the foregoing of materials o/than plast./feath./mmf",0.7298628687858582
"Chemical mixtures nesi, of two or more inorganic compounds, of mercury",38249939,"Mixtures of two or more inorganic compounds, nesoi",0.744557797908783
"Peanuts, not roasted or otherwise cooked, in shell",12024260,"Peanuts (ground-nuts), not seed, not roasted or cooked, shelled, other than dry-blanched, subject to add. US note 2 to Ch.12",0.7878271341323853
"Meat of bovine animals, salted, in brine, dried or smoked",2102000,"Meat of bovine animals, salted, in brine, dried or smoked",0.70378178358078
Toboggans; bobsleds and luges of a kind used in international competition,95069940,Toboggans; bobsleds and luges of a kind used in international competition,0.8868957161903381
"Footwear uppers, other than formed, nesi",64061050,"Formed uppers for footwear, of materials other than leather/comp.leather or textile materials, nesoi",0.7411293387413025
"Strawberries, fresh, if entered during the period from September 16 through the following June 14, inclusive",8101040,"Strawberries, fresh, if entered during the period from September 16 through the following June 14, inclusive",0.8186280131340027
"Machine tools for deburring, sharpening, grinding, honing, lapping, polishing or otherwise finishing metal, nesi",84609040,"Other machine tools for deburring, polishing or otherwise finishing metal or cermets, nesoi, numerically controlled",0.687171995639801
"Men's or boys' anoraks, etc, nesi, not knitted or crocheted, of manmade fibers, containing 36 percent or more of wool or fine animal hair",62012040,"Men's or boys' anoraks, windbreakers and similar articles nesoi, not knitted or crocheted, of wool or fine animal hair, o/than rec perf outwear",0.8019542694091797
"Sterling silver tableware, nesi",71141150,"Tableware, nesoi, of sterling silver",0.7823427319526672
"Wool, excl. unimproved, finer than 40s, but not 44s, greasy, not shorn, not carded or combed, not for special uses",51012935,"Wool, excl. unimproved, finer than 44s but not 46s, degreased, not further processed, not shorn, not carded or combed, not for special uses",0.7809392213821411
"Lily of the valley pips, dormant",6011085,"Lily of the valley pips, dormant",0.8435142636299133
"Coated multi-ply paper and paperboard, nesi, weighing more than 150 g/m 2, in rolls or sheets",48022040,"Uncoated paper and paperboard of a kind used for photo-sensitive/heat-sensitve/eletro-sensitive paper/paperboard, in rolls or sheets nesoi",0.6962310075759888
"Pineapples, preserved by sugar (drained, glace or crystallized)",20060040,"Pineapples, preserved by sugar (drained, glace or crystallized)",0.8839205503463745
Decolorizing earths and fuller's earth,38029020,Activated clays and activated earths,0.5984671115875244
"Audio-frequency electric amplifiers, other than for use as repeaters in line telephony",85184020,"Audio-frequency electric amplifiers, other than for use as repeaters in line telephony",0.7949666976928711
"Snowshoes, and parts and accessories thereof",95069950,Snowshoes and parts & accessories thereof,0.7869157791137695
"Women's or girls' slips and petticoats, knitted or crocheted, of man-made fibers",62081100,"Women's or girls' slips and petticoats, not knitted or crocheted, of man-made fibers",0.7971071004867554
"Bran, sharps (middlings) and other residues, derived from the sifting, milling or other working of corn (maize)",23021000,"Bran, sharps (middlings) and other residues, derived from the sifting, milling or other working of corn (maize)",0.8754363059997559
"Multiple or cabled cotton yarn, 85% or more cotton by weight, of combed fibers, yarn over 14 but n/o 43 nm, not put up for retail sale",52054100,"Multiple or cabled cotton yarn, 85% or more cotton by weight, of combed fibers, not over 14 nm per single yarn, not put up for retail sale",0.7737709283828735
"Monafilament nesi, of plastics, excluding ethylene, vinyl chloride and acrylic polymers",39169030,"Monafilament nesoi, of plastics, excluding ethylene, vinyl chloride and acrylic polymers",0.7052488327026367
"Machinery for working earth, minerals or ores, not self-propelled, nesi",84306901,"Machinery for working earth, minerals or ores, not self-propelled, nesoi",0.7928342819213867
"Refined lead, unwrought",78011000,"Refined lead, unwrought",0.8014122843742371
Ironing machines and presses (including fusing presses) for textile fabrics or made up textile articles,84513000,Ironing machines and presses (including fusing presses) for textile fabrics or made up textile articles,0.8736411333084106
"Liquid-filled thermometers, for direct reading, not combined with other instruments, other than clinical thermometers",90251140,"Liquid-filled thermometers, for direct reading, not combined with other instruments, other than clinical thermometers",0.9041639566421509
"Apparatus based on the use of alpha, beta or gamma radiations, for medical, surgical, dental or veterinary use",90222100,"Apparatus based on the use of alpha, beta or gamma radiations, for medical, surgical, dental or veterinary use",0.8731329441070557
"Lime bark, raffia, reeds, rushes, cleaned, bleached or dyed cereal straw, other vegetable materials nesi, used primarily for plaiting",46019440,"Products nesoi, of plaiting vegetable materials nesoi, bound together in parallel strands or woven, in sheet form",0.7585595846176147
Nitrogen,28043000,Nitrogen,0.7030347585678101
"Fish hooks, snelled",95072080,"Fish hooks, not snelled",0.7917676568031311
"Rubber, unvulcanized, compounded with carbon black or silica, in primary forms or in plates, sheets or strip",40051000,"Rubber, unvulcanized, compounded with carbon black or silica, in primary forms or in plates, sheets or strip",0.8355118036270142
"Woven cotton fabric, 85% or more cotton by weight, plain weave, not over 100 g/m2, unbleached, of number 69 or over, for typewriter ribbon",52081160,"Woven cotton fabric, 85% or more cotton by weight, plain weave, wt n/o 100 g/m2, unbleached, of number 69 or over, for typewriter ribbon",0.8242965340614319
"Uncoated multi-ply paper and paperboard, each layer bleached, in rolls or sheets",48022040,"Uncoated paper and paperboard of a kind used for photo-sensitive/heat-sensitve/eletro-sensitive paper/paperboard, in rolls or sheets nesoi",0.7398319244384766
"Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",99038907,"Airplanes, unladen weight >15,000 kg of France/Germany/Spain/UK other than airplanes described in 99038907",0.6825522184371948
"Odoriferous or flavoring compounds of other esters of salicyclic acid and their salts, nesi",29182320,"Odoriferous or flavoring compounds of other esters of salicyclic acid and their salts, nesoi",0.8140555024147034
"Ceramic insulators to be used in the production of spark plugs for natural gas fueled, stationary, internal-combustion engines",85471040,"Ceramic insulators to be used in the production of spark plugs for natural gas fueled, stationary, internal-combustion engines",0.9056513905525208
"Flat-rolled iron/nonalloy steel products, nesi, under 300mm wide, hot-rolled, not clad, plated or coated, over 1.25mm but n/o 4.75mm thick",72255070,"Alloy heat-resisting steel, width 600mm+, cold-rolled flat-rolled products, w/thickness less than 4.75 mm",0.7696336507797241
"Odoriferous or flavoring compounds of aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and derivatives",29163921,"Odoriferous or flavoring compounds of aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and derivatives",0.7578675150871277
Unrooted cuttings and slips of live plants,6021000,Unrooted cuttings and slips of live plants,0.7888205051422119
"5-tert-Butyl-2,4,6-trinitro-m-xylene (Musk xylol) and other artificial musks",29042030,"5-tert-Butyl-2,4,6-trinitro-m-xylene (Musk xylol) and other artificial musks",0.7923152446746826
"Speed changers other than fixed, multiple and variable ratio speed changers",84834070,"Speed changers other than fixed, multiple and variable ratio speed changers",0.7460953593254089
"Printed woven fabrics of cotton, nesi, containing 85% or more cotton by weight, weighing not more than 200 g/m2, of numbers 43 to 68",52085960,"Printed woven fabrics of cotton, nesoi, containing 85% or more cotton by weight, weighing not more than 200 g/m2, of numbers 43-68",0.8036894798278809
"Harvesting machinery or threshing machinery, nesi",98170050,"Machinery, equipment and implements to be used for agricultural or horticultural purposes",0.715769350528717
"N-Vinyl-2-pyrrolidone, monomer",29337930,"N-Vinyl-2-pyrrolidone, monomer",0.7754720449447632
"Men's or boys' suit-type jackets and blazers, knitted or crocheted, of other textile materials nesi",61033320,"Men's or boys' suit-type jackets and blazers, knitted or crocheted, of synthetic fibers, nesoi",0.8696765899658203
"Lightning arrestors, voltage limiters and surge suppressors, for a voltage exceeding 1,000 V",85354000,"Lightning arrestors, voltage limiters and surge suppressors, for a voltage exceeding 1,000 V",0.8433859348297119
"Hat forms, hat bodies and hoods, neither blocked to shape nor with made brims, and plateaux and manchons, of fur felt, for men or boys",65010030,"Hat forms, hat bodies and hoods, not blocked to shape or with made brims; plateaux & manchons; all of fur felt, for men or boys",0.7387819290161133
"Acetone, derived in whole or in part from cumene",29141110,"Acetone, derived in whole or in part from cumene",0.7137609720230103
"Units, nesi, suitable for physical incorporation into automatic data processing machines or units thereof",84718040,"Unit suitable for physical incorporation into automatic data processing machine or unit thereof,not entered with the rest of a system, nesoi",0.7823565006256104
"Cored wire of base metal, for electric arc-welding",83112000,Base metal cored wire for electric arc-welding,0.7171558737754822
Tubes and pipes of nickel alloys,75071100,"Nickel (o/than alloy), tubes and pipes",0.7863026261329651
Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt waste and scrap; cobalt powders,81052090,"Cobalt, mattes and other intermediate products of cobalt metallurgy; cobalt powders",0.8058559894561768
"Men's or boys' overcoats, carcoats, capes, & like coats of man-made fibers, not knit or crocheted, cont. 15% or more by wt of down, etc",61013010,"Men's or boys' overcoats, carcoats, capes and like articles knitted or crocheted, of man-made fibers, 25% or more by weight of leather",0.8274863958358765
"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",2062900,"Edible offal of bovine animals, except tongues or livers, frozen",0.6836426854133606
"Yarn (other than sewing thread) of artificial staple fibers, put up for retail sale",55113000,"Yarn (other than sewing thread) of artificial staple fibers, put up for retail sale",0.7417088150978088
"Carpet tiles of felt, not tufted or flocked, whether or not made up, having a maximum surface area of 0.3 m2",57041000,"Carpet tiles of felt, not tufted or flocked, whether or not made up, having a maximum surface area of 0.3 m2",0.7242788076400757
Parts and accessories of rifles of heading 9301,93052080,Other parts and accessories of shotguns or rifles of heading 9303,0.8336701393127441
"Hats and other headgear, plaited or assembled of strips of vegetable fibers, of unspun fibrous vegetable materials, and/or paper yarn, sewed",65050060,"Hats and headgear, of man-made fibers, knitted or crocheted or made up from knitted or crocheted fabrics, not in part of braid",0.8247157335281372
Iron oxides and hydroxides,28211000,Iron oxides and hydroxides,0.7165369391441345
"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with man-made fibers, over 1.492 kg/sq m",39219025,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with man-made fibers, over 1.492 kg/sq m",0.8541761636734009
Hydrogen chloride (Hydrochloric acid),28061000,Hydrogen chloride (Hydrochloric acid),0.893349289894104
"Vegetable textile fibers nesi, processed but not spun; tow, noils and waste of these fibers (including yarn waste and garnetted stock)",52029950,"Cotton waste, other than yarn waste and garnetted stock, nesoi",0.6662662625312805
Oil or fuel filters for internal combustion engines,84212300,Oil or fuel filters for internal combustion engines,0.8395125865936279
"Flat-rolled iron or nonalloy steel products nesi, hot-rolled, not clad, plated or coated, 4.75 mm or more but n/o 10 mm thick",72089000,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, nesoi, not clad/plated/coated",0.7408342361450195
"Dyed plain weave fabrics of cotton, containing 85% or more cotton by weight, weighing not more than 100 g/m2, of number 42 or lower, nesi",52093160,"Dyed, plain weave fabrics of cotton, containing 85% or more cotton by weight, weighing more than 200 g/m2, nesoi",0.7838642597198486
"Printed matter, nesi",49019900,"Printed books, brochures, leaflets and similar printed matter, other than in single sheets",0.8441715240478516
"Glucose and glucose syrup, not containing fructose or in the dry state less than 20% fructose, blended with other sugar in chapter 17",17023024,"Glucose & glucose syrup nt containing or containing in dry state less than 20% fructose; blended, see add'l U.S. note 9 (chap. 17) & Prov.",0.7878010272979736
"Single textured yarn of polyesters, not put up for retail sale",54075320,"Woven fabrics, containing 85 percent or more by weight of textured polyester filaments, of yarns of different colors, nesoi",0.674785852432251
"Apple juice, unfermented and not containing added spirit",20098970,"Juice of any other single fruit, nesoi, (including berries), concentrated or not concentrated",0.6022018194198608
"Bakery machinery and machinery for the manufacture of macaroni, spaghetti or similar products, nesi",84381000,"Bakery machinery and machinery for the manufacture of macaroni, spaghetti or similar products, nesoi",0.7371448874473572
"Parts of railway or tramway rolling stock, nesi",86071915,"Parts of railway/tramway locomotives/rolling stock, parts of wheels",0.8456008434295654
"Yarn of Angora rabbit hair, containing 85 percent or more by weight of the Angora hair, put up for retail sale",51091040,"Yarn of Angora rabbit hair, containing 85 percent or more by weight of the Angora hair, put up for retail sale",0.8429255485534668
Snowplows and snowblowers,84302000,Snowplows and snowblowers,0.754023551940918
"Tobacco, partly or wholly stemmed (stripped), threshed or similarly processed, from cigar leaf",24012060,"Tobacco, partly or wholly stemmed (stripped), threshed or similarly processed, from cigar leaf",0.8248507380485535
Sodium nitrate,31025000,Sodium nitrate,0.8162195682525635
"Mixtures of fruit juices, or of vegetable and fruit juices, unfermented and not containing added spirit",22029937,"Fruit or vegetable juices, fortified with vitamins or minerals, mixtures of juices in non-concentrated form",0.7333011031150818
Heavy water (Deuterium oxide),28451000,Heavy water (Deuterium oxide),0.8520898818969727
"Mixtures of vegetables nesi, uncooked or cooked by steaming or boiling in water, frozen",7109091,"Mixtures of vegetables not elsewhere specified or included, uncooked or cooked by steaming or boiling in water, frozen",0.7636030912399292
"Flat fish, nesi, fresh or chilled, excluding fillets, other meat portions, livers and roes",3022901,"Flat fish, nesoi, fresh or chilled, excluding fillets, other meat portions, livers and roes",0.8275500535964966
"Signaling flares, rain rockets, fog signals and other pyrotechnic articles, excluding fireworks",36049000,"Signaling flares, rain rockets, fog signals and other pyrotechnic articles, excluding fireworks",0.8217405080795288
"Table linen of flax, other than tablecloths and napkins, not knitted or crocheted",63025920,"Table linen of flax, other than tablecloths and napkins, not knitted or crocheted",0.8313829898834229
"Condensed milk, other than in airtight containers",4029906,"Condensed milk, sweetened, not in airtight containers, subject to gen. note 15 of the HTS",0.7986754775047302
Articles of vulcanized cellular rubber other than hard rubber,40081980,"Vulcanized, synthetic cellular rubber, other than hard rubber, other than rods and profile shapes",0.7679117918014526
Vacuum-molding and other thermoforming machines for working rubber or plastics or for the manufacture of products from these materials,84774001,"Vacuum-molding and other thermoforming machines for working rubber or plastics or for manufacture of products from these materials, nesoi",0.7991278171539307
Butylene oxide,29109010,Butylene oxide,0.8090959787368774
India ink drawing pens,32159010,Drawing ink,0.515388548374176
"Plates, sheets and strip of vulcanized, noncellular rubber, other than hard rubber",40082100,"Plates, sheets and strip of vulcanized, noncellular rubber, other than hard rubber",0.8359588384628296
