ProductDescription,ProductCode,Final Predicted HS Code,Final Confidence Level,F1_2digit,F1_4digit,F1_6digit
Apparatus & equipment for auto. developing photographic film/paper in rolls or exposing developed film to rolls of photographic paper,90101000,90101000,1.000000238418579,1,1,1
"Apparatus based on the use of alpha, beta or gamma radiations, for medical, surgical, dental or veterinary use",90222100,90222100,1.0000003576278689,1,1,1
"Apple juice, unfermented and not containing added spirit",20097000,20091100,0.8030823469161987,1,1,0
"Apricots, dried",8131000,8131000,0.9999998211860656,1,1,1
"Arms nesi, excluding those of heading 9307",93040060,93040060,0.8516764640808105,1,1,1
"Aromatic alcohol peroxides, ether peroxides, ketone peroxides and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesi",29096020,29096020,0.9792179465293884,1,1,1
"Aromatic amino-alcohols, their ethers and esters, except those cont. more than one oxygen function; salts, in add. U.S. 3 to note sec. VI",29221930,29221960,0.89073646068573,1,1,1
"Aromatic amino-alcohols, their ethers and esters, except those containing more than one oxygen function; salts thereof, nesi",29221940,29221909,0.8911798000335693,1,1,1
"Aromatic carboxylic acids with additional oxygen function, nesi, and their derivatives described in additional U.S. note 3 to section VI",29189040,29189930,0.8562135696411133,1,1,0
"Aromatic cyclic amides (including cyclic carbamates) & their derivatives; salts thereof, nesi, 5-Bromoacetyl-2-salicylamide",29242942,29242977,0.9018890857696532,1,1,1
"Aromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, nesi",29042045,29042045,0.9708435535430908,1,1,1
"Aromatic drugs nesi of amino-alcohols, their ethers and esters, except those cont. more than one kind of oxygen function; salts thereof",29221915,29221909,0.90854811668396,1,1,1
"Aromatic drugs of amino-compounds with oxygen function, nesi",29225025,29225025,0.9527015686035156,1,1,1
"Aromatic heterocyclic compounds with oxygen hetero-atom(s) only, containing an unfused furan ring, nesi",29321910,29321910,0.9797160625457764,1,1,1
"Aromatic heterocyclic compounds with oxygen hetero-atom(s) only, nesi, described in additional U.S. note 3 to section VI",29329041,29329961,0.9521701335906982,1,1,0
"Aromatic imines and their derivatives; salts thereof, nesi",29252030,29252960,0.914970636367798,1,1,0
"Aromatic monoamines and their derivatives and salts thereof, nesi",29214950,29214950,0.9246282577514648,1,1,1
"Aromatic or modified aromatic herbicides of heterocyclic compounds with nitrogen hetero-atom(s) only, cont. a pyrimidine or piperazine ring",29335910,29335910,0.9999998807907104,1,1,1
Aromatic or modified aromatic pesticides of heterocyclic compounds with nitrogen hetero-atom(s) only cont. unfused pyrazole ring,29331925,29331935,0.8535437583923341,1,1,1
Aromatic organo-mercury compounds,29310027,29309092,0.7072881460189819,1,0,0
"Aromatic pesticides of ureines and their derivatives; salts thereof, nesi",29242115,29242116,0.9170182347297668,1,1,1
"Aromatic phosphoric esters and their salts, including lactophosphates, and their derivatives, not used as plasticizers",29190030,29199030,1.0000001192092896,1,1,0
Aromatic plasticizers of phosphoric esters and their salts,29190010,29199030,0.8430468440055847,1,1,0
Arsenic,28048000,28048000,1.0000001192092896,1,1,1
"Articles of a kind normally carried in the pocket or handbag, with outer surface of plastic sheeting, nesi",42023220,42023220,0.9738976359367372,1,1,1
"Articles of apparel, of reptile leather",42031020,42031020,1.0,1,1,1
"Articles of asbestos or of mixtures with a basis of asbestos or of asbestos and magnesium carbonate, nesi",68129000,68129990,0.8044111728668213,1,1,0
"Articles of asphalt or of similar material, in rolls",68071000,68071000,1.000000238418579,1,1,1
"Articles of bedding and similar furnishings (for example, quilts, eiderdowns and comforters), nesi",94049090,94049096,0.7201992273330688,1,1,1
"Articles of copper nesi, cast, molded, stamped, or forged but not further worked",74199100,74192000,0.9243046045303344,1,1,0
"Articles of milk or cream, whether or not concentrated or sweetened nesi",4049020,19019065,0.7587909102439879,0,0,0
"Articles of nickel, nesi",75080050,75089050,0.8827378153800964,1,1,0
"Articles of refined copper, nesi",74031900,74031900,0.8859307765960693,1,1,1
Articles of zirconium nesi,81099000,81099100,0.7542794942855835,1,1,0
"Artificial filament yarn (except sewing thread), put up for retail sale",54062000,54060020,1.0000003576278689,1,1,0
"Artificial flowers, foliage, fruit and parts thereof, and articles therefrom, of materials nesi",67029060,67029065,0.8615442514419556,1,1,1
Asbestos,25240000,25249000,0.7916162014007568,1,1,0
Automatic manostats,90322000,90322000,1.0,1,1,1
"Babies' garments and clothing accessories, knitted or crocheted, of wool or fine animal hair",61111000,61119005,0.9999999403953552,1,1,0
"Babies' garments and clothing accessories, not knitted or crocheted, nesi, of synthetic fibers",62093030,62093030,0.9784858822822572,1,1,1
"Babies' garments and clothing accessories, not knitted or crocheted, nesi, of textile materials nesi",62099040,62093030,0.9127061367034912,1,1,0
"Babies' trousers, breeches and shorts, except those imported as parts of sets, knitted or crocheted, of artificial fibers",61119010,61119010,1.000000238418579,1,1,1
Baby carriages (including strollers) and parts thereof,87150000,87150000,0.9999998807907104,1,1,1
"Badminton articles and equipment, except rackets, and parts and accessories thereof, nesi",95069912,95069912,0.8862756490707397,1,1,1
"Bakery machinery and machinery for the manufacture of macaroni, spaghetti or similar products, nesi",84381000,84381000,0.9716444611549376,1,1,1
"Ball or roller bearings nesi, including combined ball/roller bearings",84828000,84828000,0.9486732482910156,1,1,1
Ballasts for discharge lamps or tubes,85041000,85041000,1.000000238418579,1,1,1
Balls for ball point pens,96089930,96089930,1.000000238418579,1,1,1
"Balls, needles and rollers for ball or roller bearings",84829100,84829100,1.0,1,1,1
"Band saw blades, and parts thereof, of base metal",82022000,82021000,0.8734430074691772,1,1,0
Barium,28052220,28051920,1.0000003576278689,1,1,0
Barium sulfate,28332700,28332700,1.0000003576278689,1,1,1
"Bars & rods, hot-rolled, of iron or n/alloy steel cont. under 0.25% carbon, under 14 mm diam., not tempered, treated or partly manufactured",72133130,72286060,0.7486222982406616,1,0,0
"Bars and rods nesi of silico-manganese steel, not cold-formed",72282010,72282010,0.7575235366821289,1,1,1
"Bars and rods of iron or nonalloy steel not further worked than cold-formed or cold-finished, 0.25% but under 0.6% of carbon",72153000,72285050,0.7849000692367554,1,0,0
Bars and rods of refined copper,74071050,74071050,0.9732799530029296,1,1,1
"Bars and rods, hot-rolled, in irregularly wound coils, of silico-manganese steel",72272000,72272000,0.96681147813797,1,1,1
"Basmati rice, husked",10062020,10062020,1.0,1,1,1
"Baths of cast iron, whether or not enameled, coated or plated with precious metal",73242110,73242110,0.9766671657562256,1,1,1
Bearing housings nesi; plain shaft bearings,84833080,84833080,0.9277240037918092,1,1,1
"Bed linen, nt knitted or crocheted, nt printed, of cotton, containing any embroidery, lace, braid, edging, trimming, piping or applique work",63023110,63022150,0.9166942834854126,1,1,0
"Beech wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",44079200,44079200,0.9999999403953552,1,1,1
"Belting and belts (except V-belts) for machinery, of plastics, not containing textile fibers",39269060,39269060,0.9999998807907104,1,1,1
"Bezels, backs and centers, of watch cases, not of precious metal or of metal clad with precious metal",91119050,91119050,1.0,1,1,1
"Bitumen and asphalt, natural; asphaltites and asphaltic rocks",27149000,27149000,1.0000001192092896,1,1,1
"Bleached plain weave fabrics of cotton, under 85% cotton wt., mixed mainly with man-made fibers, not over 200 g/m2, of numbers 43 to 68",52102160,52102160,0.9866854548454284,1,1,1
"Bleached woven fabrics of cotton, nesi, containing 85% or more of cotton by weight, weighing not more than 200 g/m2, of numbers 43 to 68",52082960,52082960,0.9487524032592772,1,1,1
Blow-molding machines for working rubber or plastics or for the manufacture of products from these materials,84773000,84773000,1.0000001192092896,1,1,1
"Bodies (including cabs), for the vehicles of heading 8703",87071000,87079050,0.8428856134414673,1,1,0
"Bolting cloth nesi, of silk, whether or not made up",59112020,59112020,0.934134304523468,1,1,1
Bone black,38029010,38029010,1.0,1,1,1
Boron carbide,28499010,28499010,0.9999996423721312,1,1,1
"Bovine and equine leather, without hair on, nesi, full grains and grain splits, parchment-dressed or prepared after tanning, not fancy",41043160,41079970,0.9075794219970704,1,0,0
"Brazil nuts, shelled or in shell, fresh or dried",8012000,8012100,0.9807037115097046,1,1,0
"Breathing appliances, nesi, & gas masks, excl. protective masks having neither mechanical parts/replaceable filters, parts, accessories of",90200060,90200060,0.9865485429763794,1,1,1
"Brewery machinery, nesi",84384000,84384000,0.9088791012763976,1,1,1
"Brussels sprouts, fresh or chilled",7042000,7042000,1.000000238418579,1,1,1
"Bucket type continuous-action elevators and conveyors, for goods or materials",84283200,84283200,1.0000001192092896,1,1,1
"Bumpers and parts thereof, for the motor vehicles of headings 8701 to 8705",87081000,87081060,0.8445969820022583,1,1,1
Butt welding tube or pipe fittings of stainless steel,73072300,73072300,0.9153276085853576,1,1,1
Butylene oxide,29109010,29109010,1.0,1,1,1
Cab chassis of dumpers designed for off-highway use,87041010,87041010,0.8605380654335022,1,1,1
"Candles, tapers and the like",34060000,34060000,1.0000004768371582,1,1,1
Cane molasses nesi,17031050,17031050,0.930285096168518,1,1,1
"Cane/beet sugar, refined, containing added flavoring matter, whether or not containing added coloring matter, in solid form",17019140,17019905,0.8558299541473389,1,1,0
"Canoes, not of a type designed to be principally used with motor or sails",89039905,39269030,0.6594856977462769,0,0,0
"Cans for any material (except compressed or liquefied gas),of iron or steel, not to be closed by soldering or crimping, cap. under 50 liters",73102900,73102900,0.7802139520645142,1,1,1
Carbon brushes of a kind used for electrical purposes,85452000,85452000,1.0000001192092896,1,1,1
Carbon electrodes of a kind used for furnaces,85451100,85451100,1.0,1,1,1
Carbonates nesi and peroxocarbonates (percarbonates),28369950,28369950,0.9463978409767152,1,1,1
"Carboxymethylcellulose and its salts, in primary forms",39123100,39123100,0.9662482738494872,1,1,1
"Carcasses and half-carcasses of bovine animals, fresh or chilled",2011000,2041000,0.8602395057678223,1,0,0
"Carcasses and half-carcasses of lamb, fresh or chilled",2041000,2041000,1.000000238418579,1,1,1
"Carfecillin, sodium; cloxacillin, sodium; dicloxacillin, sodium; flucloxacillin (Floxacillin); and oxacillin, sodium",29411030,29411030,1.000000238418579,1,1,1
"Carpet tiles of felt, not tufted or flocked, whether or not made up, having a maximum surface area of 0.3 m2",57041000,57041000,1.000000238418579,1,1,1
"Cartridges and parts thereof, nesi",93063080,93063080,0.8427597284317017,1,1,1
"Casein, milk protein concentrate",35011010,35011010,1.000000238418579,1,1,1
Cassava (manioc) starch,11081400,11081400,0.9999998211860656,1,1,1
Cast fittings of nonmalleable cast iron,73071100,73071100,0.8060480356216431,1,1,1
"Catalysts in the form of wire cloth or grill, of platinum",71151000,71151000,0.9900972247123718,1,1,1
Cathodes and sections of cathodes of refined copper,74031100,74031100,0.9818497896194458,1,1,1
"Cauliflower and headed broccoli, fresh or chilled, reduced in size, if entered Oct. 16 through June 4, inclusive",7041060,7041060,1.0,1,1,1
Caulking guns of iron or steel,82055945,82055945,0.92066490650177,1,1,1
"Centrifugal pumps for liquids, not fitted with a measuring device, nesi",84137020,84137020,0.9587647914886476,1,1,1
"Ceramic articles, nesi, of porcelain or china",69141000,69139050,0.8764464855194092,1,0,0
"Ceramic building bricks, non refractory",69041000,69041000,0.94908344745636,1,1,1
"Ceramic household table and kitchenware, in specified sets as listed in add. note 8(b), valued over $38, not of porcelain or china",69120039,69120039,0.8668794631958008,1,1,1
"Ceramic insulators to be used in the production of spark plugs for natural gas fueled, stationary, internal-combustion engines",85471040,85471040,1.0,1,1,1
Chain sprockets and parts thereof,84839010,84839010,1.0000004768371582,1,1,1
"Chassis fitted with engines, for the vehicles of heading 8703",87060015,87060025,0.8910356163978577,1,1,1
"Check valves of copper for pipes, boiler shells, tanks, vats or the like",84813010,84813010,1.0,1,1,1
"Chemical derivatives of natural rubber, nesi, in primary forms",39139010,39139010,0.9441860914230348,1,1,1
"Chemical mixtures nesi, of two or more inorganic compounds, of mercury",38239033,38249939,0.744557797908783,1,0,0
"Chickpeas (garbanzos), fresh or chilled, shelled or unshelled",7089005,7089005,1.0000003576278689,1,1,1
"Children's picture, drawing or coloring books",49030000,49030000,0.9999998211860656,1,1,1
Chromium waste and scrap,81122030,81122200,1.0,1,1,0
"Cigarettes containing tobacco, nesi",24022090,24022090,0.9356365203857422,1,1,1
"Cigars, cheroots and cigarillos and cigarettes of tobacco substitutes",24029000,24029000,0.9999997615814208,1,1,1
"Circular knitting machines with cylinder diameter not exceeding 165 mm, for knitting hosiery",84471110,84471110,0.9999996423721312,1,1,1
"Citrus fruit, paste and puree being cooked preparations",20079110,20079110,0.982746422290802,1,1,1
"Citrus fruit, provisionally preserved, but unsuitable in that state for immediate consumption",8129020,8129020,1.0,1,1,1
"Clock movements nesi, complete and assembled, battery or AC powered, measuring over 50 mm wide, valued over $5 each",91091960,91091070,0.8440006971359253,1,1,0
"Clothing accessories, not knitted or crocheted, nesi",62171000,61112060,0.7589559555053711,0,0,0
"Clothing, clothing accessories and headgear of asbestos",68125050,68129190,0.9063526391983032,1,1,0
"Coated multi-ply paper and paperboard, nesi, weighing more than 150 g/m 2, in rolls or sheets",48109120,48044900,0.859747052192688,1,0,0
"Coffee, not roasted, not decaffeinated",9011100,9011100,1.000000238418579,1,1,1
"Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical, historical, archaeological etc. interest",97050000,97052900,0.9123408794403076,1,1,0
Colloidal precious metals,28431000,28431000,0.9999999403953552,1,1,1
"Coloring preparations based on iron oxides, as specified in note 3 to this chapter 32",32064920,32064920,1.000000238418579,1,1,1
"Columns, pillars, posts, beams and girders of iron or steel, not in part of alloy steel",73089030,73089030,0.9324048161506652,1,1,1
"Combs, not of hard rubber or plastics, valued over $4.50 per gross",96151940,96151940,1.0000003576278689,1,1,1
Communication satellites,88025030,88026030,1.0000004768371582,1,1,0
"Complex cyanides, excluding potassium ferricyanide",28372050,28372051,1.000000238418579,1,1,1
"Compound alcoholic preparations of a kind used for the manufacture of beverages, containing not over 20 percent of alcohol by weight",22081030,21069018,0.9642319679260254,0,0,0
Compression-ignition internal-combustion piston engines to be installed in tractors suitable for agricultural use,84082010,84082010,1.0,1,1,1
"Compression-ignition internal-combustion piston engines, for machinery or equipment, nesi",84089090,84089090,0.9527816772460938,1,1,1
"Coniferous wood dowel rods, plain, continuously shaped along any of its edges or faces",44091060,44091060,0.970451593399048,1,1,1
"Coniferous wood in the rough, whether or not stripped of bark or sapwood or roughly squared, not treated with preservatives",44032000,44031100,0.9943068027496338,1,1,0
"Continuous-action elevators and conveyors, for goods or materials, nesi",84283900,84283900,0.9478389024734496,1,1,1
"Conveyor or transmission belts or belting of vulcanized rubber nesi, n/o 20 cm wide, combined predominately with vegetable fibers",40109911,40101991,0.863037645816803,1,1,0
"Conveyor or transmission belts or belting, of vulcanized rubber, nesi, over 20 cm wide, combined with textile materials nesi",40109119,40103990,0.8915863037109375,1,1,0
"Copper foil, of a thickness not exceeding 0.15 mm, backed, of refined copper",74102160,74101100,0.941226065158844,1,1,0
Copper waste and scrap,74040000,74040060,0.8660147190093994,1,1,1
"Coral, cut but not set, and cameos, suitable for use in jewelry",96019040,96019040,0.9999996423721312,1,1,1
"Cored wire of base metal, for electric arc-welding",83112000,83112000,0.9759451150894164,1,1,1
"Corks and stoppers of natural cork, tapered & of a thickness (or length) greater than the maximum diam.,over 19 mm maximum diam., nesi",45031040,45031040,0.9893672466278076,1,1,1
"Corks and stoppers of natural cork, tapered and of a thickness (or length) greater than the maximum diameter, n/o 19 mm maximum diameter",45031020,45031020,1.000000238418579,1,1,1
"Corks and stoppers wholly of natural cork,tapered & of a thickness (or length) greater than the maximum diam.,over 19 mm maximum diam.",45031030,45031030,0.9999997615814208,1,1,1
"Cotterless-type crank sets, and parts thereof, of vehicles of headings 8711-8713, nesi",87149650,87149650,0.775638997554779,1,1,1
"Cotton sewing thread, containing 85 percent or more by weight of cotton, not put up for retail sale",52041100,52041100,0.9999998807907104,1,1,1
Cows imported specially for dairy purposes,1029020,1022920,1.0,1,1,0
"Crowbars, track tools and wedges, and parts thereof, of base metal",82055930,82055930,0.9800885915756226,1,1,1
"Crown corks (including crown seals and caps), and parts thereof, of base metal",83091000,83091000,0.9861164093017578,1,1,1
Crude mica and mica rifted into sheets or splittings,25251000,25251000,0.8864614963531494,1,1,1
"Curtains and drapes, incl. panels and valances, napkins, table covers, mats, scarves, runners, doilies, and like furnishings, of plastics",39249010,39249010,1.0,1,1,1
"Cut flowers and flower buds suitable for bouquets or ornamental purposes, fresh cut, nesi",6031080,6039000,0.8786172270774841,1,1,0
"DC motors nesi, of an output exceeding 37.5 W but not exceeding 74.6 W",85013120,85013120,0.9352455139160156,1,1,1
Decolorizing earths and fuller's earth,25082000,38029020,0.5984671115875244,0,0,0
Dehydrated marigolds,23089050,23080095,0.8172117471694946,1,1,0
"Drawing and marking-out instruments nesi, (for example, pantographs, protractors and drawing sets)",90172080,90172080,0.7789049744606018,1,1,1
Drawing or roving machines for preparing textile fibers,84451300,84451300,0.9999999403953552,1,1,1
"Dried vegetables nesi, and mixtures of dried vegetables, whole, cut, sliced, broken or in powder",7129080,7129085,0.9364449977874756,1,1,1
"Drilling, threading or tapping tools, and parts thereof, of base metal",82051000,82051000,0.9704318046569824,1,1,1
"Drugs of amino-naphthols and -phenols, their ethers and esters, except those cont. more than one oxygen function; salts thereof, nesi",29222927,29222927,0.937314748764038,1,1,1
Drugs of aromatic organo-inorganic (except organo-sulfur) compounds,29310022,29319022,0.955059051513672,1,1,0
Dryers for wood,84193210,84193510,0.7404356002807617,1,1,0
"Dyed plain weave certified hand-loomed fabrics of cotton, cont. 85% or more cotton by weight, weighing over 100 g/m2 but not over 200 g/m2",52083210,52083210,1.0000001192092896,1,1,1
"Dyed plain weave fabrics of cotton, containing 85% or more cotton by weight, weighing not more than 100 g/m2, of number 42 or lower, nesi",52083140,52083140,0.9777888655662536,1,1,1
"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",2069000,2069000,1.0,1,1,1
"Egg yolks, dried, whether or not containing added sweeteners",4081100,4081100,1.0,1,1,1
"Electric generating sets with compression-ignition internal-combustion piston engines, of an output exceeding 375 kVA",85021300,85021300,1.000000238418579,1,1,1
Electric motors of an output of 18.65 W or more but not exceeding 37.5 W,85011060,85011060,1.0,1,1,1
Electric soldering irons and guns,85151100,85151100,0.9999998211860656,1,1,1
"Electrical filament lamps nesi, designed for a voltage not exceeding 100 V, excluding ultraviolet and infrared lamps",85392930,85392930,0.9247159957885742,1,1,1
"Electrical filament lamps, voltage not exceeding 100 V, having glass envelopes n/o 6.35 mm in diameter, suitable in surgical instruments",85392920,85392920,1.000000238418579,1,1,1
"Electrical instruments and apparatus for measuring or checking variables of liquids or gases, nesi",90268020,90268020,0.9468024969100952,1,1,1
Electrical levels,90153040,90153040,1.000000238418579,1,1,1
Electrical particle accelerators,85431000,85431000,1.0000004768371582,1,1,1
"Electromechanical appliances with self-contained electric motor, nesi",84798960,84798965,0.9350587129592896,1,1,1
"Electromechanical drills of all kinds for working in the hand, with self-contained electric motor",85081000,84672100,0.9999998807907104,0,0,0
"Electromechanical saws for working in the hand, with self-contained electric motor",85082000,84672200,0.999999463558197,0,0,0
"Electronic calculating machines, incorporating a printing device, nesi",84702100,84702100,0.9377261996269226,1,1,1
Electronic key telephonic switching system,85173025,85183010,0.5249558091163635,1,0,0
"Engines and motors, nesi (excluding motors of heading 8501)",84128090,84128090,0.9107909202575684,1,1,1
Essential oils of lavender or of lavandin,33012300,33012910,0.6504207849502563,1,1,0
Ethane and butane,29011010,29011010,0.7035639882087708,1,1,1
"Ether-phenols, ether-alcohol-phenols & their halogenated, sulfonated, nitrated, nitrosated derivatives nesi, in add. U.S. note 3 to sec. VI",29095045,29095045,0.9779637455940248,1,1,1
Ethylene,29012100,29012100,0.9999998807907104,1,1,1
Exercise books of paper or paperboard,48202000,48202000,1.0000003576278689,1,1,1
Eye make-up preparations,33042000,33042000,0.9999997019767758,1,1,1
"Fabrics specified in note 9 to section XI, of synthetic filament yarn, nesi",54073090,54073090,0.9370579719543456,1,1,1
"Fancy retail beef cuts, frozen, boneless",2023020,2022002,0.7519898414611816,1,1,0
"Fast color bases and fast color salts, of sulfonamides",29350020,29359020,0.9652782678604126,1,1,0
"Fatty livers of geese or ducks, fresh or chilled",2073100,2075300,0.9712634086608888,1,1,0
"Felt, excluding needleloom felt and stitch-bonded fiber fabrics, not impregnated, coated, covered or laminated, of wool or fine animal hair",56022100,56022100,0.9999998807907104,1,1,1
"Felt, impregnated, coated or covered, nesi",56029090,56029090,0.9485704898834229,1,1,1
Ferromanganese containing by weight more than 1 percent but not more than 2 percent of carbon,72021950,72021950,0.9999994039535522,1,1,1
"Ferrosilicon containing by weight more than 55% but not more than 80% of silicon, nesi",72022150,72022150,0.9622631072998048,1,1,1
Ferrosilicon manganese,72023000,72023000,1.000000238418579,1,1,1
Ferrotitanium and ferrosilicon titanium,72029100,72029100,1.0000001192092896,1,1,1
Ferrous products obtained by direct reduction of iron ore,72031000,72031000,1.0000005960464478,1,1,1
Ferrous waste and scrap nesi,72044900,72044900,0.9157800674438475,1,1,1
"Fiberboard of a density 0.35 g/cm3 or less, not mechanically worked or surface covered",44119100,44119210,0.965632438659668,1,1,0
"Files, rasps and similar tools, over 11 cm but not over 17 cm in length, of base metal",82031060,82031090,0.7840227484703064,1,1,1
"Filter blocks, slabs and plates of paper pulp",48120000,48120000,1.000000238418579,1,1,1
"Finishing agents, dye carriers and like products, nesi, used in the textile industry",38099100,38099100,0.9397202730178832,1,1,1
"Finishing agents, dye carriers and like products, nesi, with a basis of amylaceous substances",38091000,38091000,0.9596936702728271,1,1,1
"Fish balls, cakes and puddings, not in oil, and in immediate nonairtight containers weighing with their contents not over 6.8 kg each",16042025,16042025,0.9999996423721312,1,1,1
"Fish hooks, not snelled",95072080,95072080,0.9999998211860656,1,1,1
"Fish hooks, snelled",95072040,95072040,0.9999997615814208,1,1,1
Fishing baskets or creels made from vegetable materials,46021005,46021905,0.9999996423721312,1,1,0
Fishing reels valued not over $2.70 each,95073020,95073020,0.9807218909263612,1,1,1
"Fishing rods, and parts and accessories thereof",95071000,95071000,0.9943908452987672,1,1,1
Flakes of potatoes,11052000,11052000,0.8461211919784546,1,1,1
"Flat-rolled high-strength nonalloy steel in coils, hot-rolled, not clad, plated or coated, 3 mm but under 4.75 mm thick, not pickled",72081350,72082530,0.9484767913818359,1,1,0
"Flat-rolled high-strength nonalloy steel products, in coils, cold-rolled, not clad, plated or coated, 3 mm or more thick",72091100,72091815,0.9397855997085572,1,1,0
"Flat-rolled high-strength nonalloy steel products, in coils, cold-rolled, not clad, plated or coated, over 1 mm but under 3 mm thick",72091200,72091815,0.9451049566268921,1,1,0
"Flat-rolled iron or nonalloy steel in coils, hot-rolled, not clad, plated or coated, nesi, less than 3 mm thick, not pickled",72082450,72082560,0.9225702285766602,1,1,0
"Flat-rolled iron or nonalloy steel in coils, hot-rolled, not clad, plated or coated, nesi, less than 3 mm thick, pickled",72082410,72082700,0.9209749698638916,1,1,0
"Flat-rolled iron or nonalloy steel products nesi, hot-rolled, not clad, plated or coated, 4.75 mm or more but n/o 10 mm thick",72084300,72111400,0.8472575545310974,1,0,0
"Flat-rolled iron or nonalloy steel products,in coils,cold-rolled,not clad,plated or coated,nes,less than 0.5 mm but not less than 0.361 mm",72092450,72092800,0.8861591815948486,1,1,0
"Flat-rolled iron/nonalloy steel products, nesi, under 300mm wide, hot-rolled, not clad, plated or coated, over 1.25mm but n/o 4.75mm thick",72112910,72111400,0.8644291162490845,1,1,0
"Flat-rolled products of alloy steel nesi, of a width of 300 mm but less than 600 m, cold-rolled",72269250,72269901,0.8160341382026672,1,1,0
