1990 Product Code,1990 Description,GPT-4 Predicted HS Code,Formatted GPT-4 Predicted HS Code,Closest 2023 HS Code,2023 Product Description,F1 Score HS4,F1 Score HS6,F1 Score HS8
28500050,"Hydrides, nitrides, azides, silicides and borides other than of calcium, titanium, tungsten or vanadium",28469000,28469000,28049000,Selenium,0.0,0.0,0.0
2102000,"Meat of bovine animals, salted, in brine, dried or smoked",020230,20230,2012030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",0.0,0.0,0.0
93059060,"Parts and accessories of articles of heading 9301 to 9304, nesi",9305.99.00,93059900,93059940,Parts and accessories for articles of heading 9303 other than shotguns or rifles,1.0,0.0,0.0
85332100,"Electrical fixed resistors, other than composition or film type carbon resistors, for a power handling capacity not exceeding 20 W",85332100,85332100,85332100,"Electrical fixed resistors, other than composition or film type carbon resistors, for a power handling capacity not exceeding 20 W",1.0,1.0,1.0
29224940,"Nonaromatic amino-acids, other than those containing more than one kind of oxygen function, nesi",29224985,29224985,29224905,"(R)-alpha-Aminobenzeneacetic acid; and 2-amino-3-chlorobenzoic acid, methyl ester",1.0,1.0,0.0
81099000,Articles of zirconium nesi,81099000,81099000,28199000,"Chromium oxides and hydroxides, other than chromium trioxide",1.0,1.0,1.0
28334010,Potassium peroxosulfates (potassium persulfates),28421000,28421000,28421000,Double or complex silicates,0.0,0.0,0.0
76052900,"Wire of aluminum alloys, of which the maximum cross-sectional dimension does not exceed 7 mm",7605.19.00,76051900,76051900,"Aluminum (o/than alloy), wire, with a maximum cross-sectional dimension of 7 mm or less",1.0,0.0,0.0
37029200,"Photographic film nesi, in rolls, of a width not exceeding 16 mm and of a length exceeding 14 m",3702.43.00,37024300,3024300,"Sardines, sardinella, brisling or sprats, fresh or chilled, excluding fillets, other meat portions, livers and roes",1.0,0.0,0.0
89031000,"Inflatable vessels, row boats and canoes for pleasure or sports",89031000,89031000,18031000,"Cocoa paste, not defatted",1.0,1.0,1.0
73158100,Stud link chain of iron or steel,73158200,73158200,73151200,"Iron or steel, articulated link chain (other than roller chain)",1.0,0.0,0.0
79079030,"Zinc articles of a type used for household, table or kitchen use; zinc toilet and sanitary wares; parts of all the foregoing",76151000,76151000,26151000,Zirconium ores and concentrates,0.0,0.0,0.0
72042100,Waste and scrap of stainless steel,7204210000,7204210000,72041000,Cast iron waste and scrap,1.0,1.0,1.0
58021100,"Terry toweling and similar woven terry fabrics, other than narrow fabrics of heading 5806, of cotton, unbleached",630260,630260,1061300,Live camels and other camelids (Camelidae),0.0,0.0,0.0
72162200,"T sections of iron or nonalloy steel, not further worked than hot-rolled, hot-drawn or extruded, height under 80 mm",7216.33.00,72163300,72163300,"Iron/nonalloy steel, H-sections, not further worked than hot-rolled, hot-drawn or extruded, w/height 80 mm or more",1.0,0.0,0.0
42031020,"Articles of apparel, of reptile leather",420310,420310,70042010,"Drawn or blown glass, in sheets, w/absorbent, reflecting or non-reflecting layer, n/furth. wkd.",1.0,1.0,0.0
74122000,Tube or pipe fittings of copper alloys,7412.20.00,74122000,74122000,"Copper alloys, fittings for tubes and pipes",1.0,1.0,1.0
70139930,"Smokers' articles of glassware; glass perfume bottles fitted with ground glass stoppers, not of lead crystal",70139900,70139900,70139910,"Glassware, nesoi, decorated/colored within the body prior to solidification; millefiori glassware; glassware colored & w/bubbles etc",1.0,1.0,0.0
2089020,"Meat and edible offal of deer, fresh, chilled or frozen",0208.90.95,2089095,2089025,"Frog legs, fresh, chilled or frozen",1.0,0.0,0.0
94016160,"Upholstered seats (other than chairs), with wooden frames (other than those of heading 9402)",94016100,94016100,40161000,Articles of vulcanized cellular rubber other than hard rubber,1.0,1.0,0.0
38220010,"Composite diagnostic or laboratory reagents, other than those of heading 3002 or 3006, containing antigens or antisera",300210,300210,50030010,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock) not carded or combed",0.0,0.0,0.0
85431000,Electrical particle accelerators,902219,902219,4022190,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/35%, not subj to GN15 or Ch4 US note 9",0.0,0.0,0.0
62029215,"Women's or girls' anoraks, windbreakers and similar articles, not knitted or crocheted, of cotton, nesi, water resistant",620292,620292,4062022,"Blue-veined cheese (except Roquefort or Stilton), grated or powdered, subject to gen. note 15 of the HTS",1.0,1.0,0.0
29321910,"Aromatic heterocyclic compounds with oxygen hetero-atom(s) only, containing an unfused furan ring, nesi",293219,293219,4022190,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/35%, not subj to GN15 or Ch4 US note 9",1.0,1.0,0.0
84158200,"Air conditioning machines incorporating a refrigerating unit, nesi",841510,841510,3028411,"Seabass, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less",1.0,0.0,0.0
73071100,Cast fittings of nonmalleable cast iron,7307.19.00,73071900,70071900,"Toughened (tempered) safety glass, not of size or shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels",1.0,0.0,0.0
82074060,"Interchangeable tools for tapping or threading nesi, and parts thereof, of base metal",82074000,82074000,12074000,"Sesame seeds, whether or not broken",1.0,1.0,0.0
58013300,"Weft pile fabrics of man-made fibers, cut, other than fabrics of heading 5802 or 5806, nesi",5801.37.00,58013700,58012300,"Weft pile fabrics, cut, of cotton, other than fabrics of heading 5802 or 5806, nesoi",1.0,0.0,0.0
85163300,Electrothermic hand drying apparatus,851633,851633,85163300,Electrothermic hand drying apparatus,1.0,1.0,0.0
84283900,"Continuous-action elevators and conveyors, for goods or materials, nesi",842833,842833,84283300,"Belt type continuous-action elevators and conveyors, for goods or materials",1.0,0.0,0.0
51113005,"Tapestry and upholstery fabrics of carded wool or fine animal hair, mixed mainly or solely with man-made staple fibers exceeding 300 g/m2",5516.94,551694,3056940,"Salmon, in brine or salted but not dried or smoked",0.0,0.0,0.0
42023220,"Articles of a kind normally carried in the pocket or handbag, with outer surface of plastic sheeting, nesi",420232,420232,2023002,"High-qual. beef cuts, boneless, processed, frozen, descr in gen. note 15 of the HTS",1.0,1.0,0.0
22042180,"Grape wine, other than ""Marsala"", not sparkling or effervescent, over 14% vol. alcohol, in containers holding 2 liters or less",220421,220421,2022002,"High-qual. beef cuts w/bone in, processed, frozen, descr in gen. note 15 of the HTS",1.0,1.0,0.0
73129000,"Plaited bands, slings and the like other than stranded wire, ropes and cables, of iron or steel, not electrically insulated",7312.10.00,73121000,27121000,Petroleum jelly,1.0,0.0,0.0
7042000,"Brussels sprouts, fresh or chilled",07042000,7042000,7042000,"Brussels sprouts, fresh or chilled",1.0,1.0,1.0
39206100,"Nonadhesive plates, sheets, film, foil and strip, noncellular, not combined with other materials, of polycarbonates",39206100,39206100,39206100,"Nonadhesive plates, sheets, film, foil and strip, noncellular, not combined with other materials, of polycarbonates",1.0,1.0,1.0
11042100,"Grains of barley, hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked",10039000,10039000,6039000,"Cut flowers and flower buds, suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",0.0,0.0,0.0
90066200,"Photographic flashbulbs, flashcubes and the like",9006.61.00,90066100,90066100,Photographic discharge lamp (electronic) flashlight apparatus,1.0,0.0,0.0
74031100,Cathodes and sections of cathodes of refined copper,7403.11.00,74031100,74031100,Refined copper cathodes and sections of cathodes,1.0,1.0,1.0
24022090,"Cigarettes containing tobacco, nesi",240220,240220,1022920,Cows imported specially for dairy purposes,1.0,1.0,0.0
54012000,"Sewing thread of artificial filaments, whether or not put up for retail sale",5508.10.00,55081000,55081000,"Sewing thread of synthetic staple fibers, whether or not put up for retail sale",0.0,0.0,0.0
48053000,Uncoated sulfite wrapping paper in rolls or sheets,4805.11.00,48051100,48051100,"Uncoated semichemical fluting paper, in rolls or sheets, not further worked than as specified in note 3 to chapter 48",1.0,0.0,0.0
12050000,"Rape or colza seeds, whether or not broken",120510,120510,2012010,"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",1.0,0.0,0.0
51082030,"Yarn of Angora rabbit hair, combed, not put up for retail sale",510530,510530,30051050,"Adhesive dressings and other articles having an adhesive layer, packed for retail for medical, surgical, dental, veterinary purposes",0.0,0.0,0.0
32064920,"Coloring preparations based on iron oxides, as specified in note 3 to this chapter 32",32064900,32064900,2064900,"Edible offal of swine, except liver, frozen",1.0,1.0,0.0
62046230,"Women's or girls' trousers, breeches and shorts, not knitted or crocheted, of cotton, nesi, certified hand-loomed and folklore products",620462,620462,4062022,"Blue-veined cheese (except Roquefort or Stilton), grated or powdered, subject to gen. note 15 of the HTS",1.0,1.0,0.0
44091060,"Coniferous wood dowel rods, plain, continuously shaped along any of its edges or faces",4409.10.00,44091000,44021000,"Wood charcoal (including shell or nut charcoal), whether or not agglomerated, of bamboo",1.0,1.0,0.0
25082000,Decolorizing earths and fuller's earth,38029000,38029000,35029000,"Albumins, albuminates and other albumin derivatives, nesoi",0.0,0.0,0.0
20060030,"Ginger root, preserved by sugar (drained, glace or crystallized)",2006.00.00,20060000,12060000,"Sunflower seeds, whether or not broken",1.0,1.0,0.0
33079000,"Depilatories and other perfumery, cosmetic or toilet preparations nesi",330790,330790,1063300,Ostriches; emus,1.0,1.0,0.0
29011010,Ethane and butane,27111900,27111900,27111900,"Liquefied petroleum gases and other gaseous hydrocarbons, nesoi",0.0,0.0,0.0
15159020,"Nut oils, whether or not refined, not chemically modified",1515.90.10,15159010,15109010,"Olive oil, whether or not refined, not chemically modified, rendered unfit for use as food",1.0,1.0,0.0
62034910,"Men's or boys' bib and brace overalls, not knitted or crocheted, of artificial fibers",62114300,62114300,52114300,"3-or 4-thread twill fab of cotton,incl cross twill,nesoi,< 85% cotton wt,mixed mainly/solely w/mm fibers,ov 200 g/m2, of yarn of diff colors",0.0,0.0,0.0
55049000,"Artificial staple fibers, not carded, combed or otherwise processed for spinning, other than of viscose rayon",55040000,55040000,5040000,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof",1.0,0.0,0.0
84569050,"Machine tools operated by electro-chemical, electron-beam, ionic-beam or plasma arc processes, other than for working metal",8463.30.00,84633000,84633000,"Machines for working wire of metal or cermets, without removing material",0.0,0.0,0.0
25041010,Natural graphite crystalline flake (not including flake dust),25041000,25041000,2041000,"Carcasses and half-carcasses of lamb, fresh or chilled",1.0,1.0,0.0
28432900,"Silver compounds, other than silver nitrate",28432900,28432900,28042900,"Rare gases, other than argon",1.0,1.0,1.0
51129060,"Woven fabrics of combed wool or fine animal hair, nesi",511220,511220,7051120,"Head lettuce (cabbage lettuce), fresh or chilled, if entered June 1 to October 31, inclusive, in any year",1.0,0.0,0.0
29163920,"Odoriferous or flavoring compounds of aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and derivatives",291639,291639,4029103,"Milk & cream, concen, in non-solid forms, not sweetened, in airtight containers, subject to gen. note 15 of the HTS",1.0,1.0,0.0
84609000,"Machine tools for deburring, sharpening, grinding, honing, lapping, polishing or otherwise finishing metal, nesi",846029,846029,4062029,"Cheddar cheese, grated or powdered, subject to gen. note 15 of the HTS",1.0,0.0,0.0
28363000,Sodium hydrogencarbonate (Sodium bicarbonate),28363000,28363000,28363000,Sodium hydrogencarbonate (Sodium bicarbonate),1.0,1.0,1.0
83023060,"Mountings, fittings and similar articles nesi, suitable for motor vehicles, and parts thereof, of base metal, nesi",8708.29.50,87082950,74082950,"Copper alloys (o/than brass, cupro-nickel or nickel-silver), wire, not coated or plated with metal",0.0,0.0,0.0
28043000,Nitrogen,2804.30.00,28043000,28043000,Nitrogen,1.0,1.0,1.0
85421900,Analog or linear monolithic electronic integrated circuits,85423100,85423100,85423100,Electronic integrated circuits: processors and controllers,1.0,0.0,0.0
29181930,"Aromatic carboxylic acids with alcohol function, without other oxygen functions, and their derivatives, nesi",291819,291819,3025911,"Bregmacerotidae et al fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing < 6.8 kg",1.0,1.0,0.0
62064010,"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, certified hand-loomed and folklore products",621142,621142,3061420,"Crabmeat, frozen",0.0,0.0,0.0
74199100,"Articles of copper nesi, cast, molded, stamped, or forged but not further worked",74072900,74072900,4072900,"Birds' eggs, in shell, other fresh, not fertilized eggs for incubation, other than  species Gallus domesticus",0.0,0.0,0.0
87149650,"Cotterless-type crank sets, and parts thereof, of vehicles of headings 8711-8713, nesi",8714.96.50,87149650,87149650,"Pts. & access. for bicycles & o/cycles, cotterless-type crank sets and parts thereof",1.0,1.0,1.0
55039000,"Synthetic staple fibers, not carded, combed or otherwise processed for spinning, nesi",5504.10,550410,8055040,"Limes of the Citrus aurantifolia variety, fresh or dried",0.0,0.0,0.0
51011940,"Wool, excl. unimproved, finer than 40s, but not 44s, greasy, not shorn, not carded or combed, not for special uses",5101.11.00,51011100,10011100,"Durum wheat, seed",1.0,0.0,0.0
44119100,"Fiberboard of a density 0.35 g/cm3 or less, not mechanically worked or surface covered",44101100,44101100,44101100,"Waferboard, including oriented strand board, of wood",0.0,0.0,0.0
48109120,"Coated multi-ply paper and paperboard, nesi, weighing more than 150 g/m 2, in rolls or sheets",4810.92,481092,3048110,"Frozen salmon fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces of uniform weight",1.0,0.0,0.0
55129100,"Woven fabrics, containing 85% or more by weight of synthetic fibers, nesi, unbleached or bleached",54076900,54076900,54076910,"Woven fab, containing 85%+ by wt of polyester filaments nesoi, unbleached or bleached",0.0,0.0,0.0
21032020,Tomato ketchup,2103.20,210320,70021020,"Glass in balls (o/than microspheres of heading 7018), unworked, over 6 mm in diameter",1.0,1.0,0.0
93040060,"Arms nesi, excluding those of heading 9307",9303.90.00,93039000,43039000,"Articles of furskin, nesoi",0.0,0.0,0.0
64051000,"Footwear, nesi, with uppers of leather or composition leather",6403.99,640399,4039090,Curdled milk/cream/kephir & other fermentd or acid. milk/cream subject to add US note 10 to Ch.4,0.0,0.0,0.0
88052000,Ground flying trainers and parts thereof,88052000,88052000,68052000,Natural or artificial abrasive powder or grain on a base of paper or paperboard only,1.0,1.0,1.0
82075040,"Interchangeable tools for drilling, other than for rock drilling, nesi, suitable for cutting metal, and parts thereof, of base metal",8207.50,820750,2012050,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2",1.0,1.0,0.0
62019325,"Men's or boys' anoraks, etc, nesi, not knitted or crocheted, of manmade fibers, containing 36 percent or more of wool or fine animal hair",620193,620193,1061201,"Live whales, dolphins and porpoises; manatees and dugongs, seals, sea lions, and walruses",1.0,1.0,0.0
95069950,"Snowshoes, and parts and accessories thereof",9506.99.60,95069960,95069960,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi",1.0,1.0,0.0
81051090,Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt waste and scrap; cobalt powders,810520,810520,7081020,"Peas, fresh or chilled, shelled or unshelled, if entered July 1 to Sept. 30, inclusive, in any year",1.0,0.0,0.0
84306900,"Machinery for working earth, minerals or ores, not self-propelled, nesi",847490,847490,3044901,"Pike, pickerel, whitefish, tilapia, perch, cusk, other fish fillets, fresh or chilled",0.0,0.0,0.0
61033920,"Men's or boys' suit-type jackets and blazers, knitted or crocheted, of other textile materials nesi",6103.43.00,61034300,61032300,"Men's or boys' ensembles, knitted or crocheted, of synthetic fibers",1.0,0.0,0.0
9050000,Vanilla beans,0905.00.00,9050000,2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",1.0,1.0,1.0
64061080,"Footwear uppers, other than formed, nesi",6406.10.00,64061000,36061000,Liquid or liquefied-gas fuels in containers used for filling cigarette or similar lighters of a capacity not exceeding 300 cubic cm,1.0,1.0,0.0
23021000,"Bran, sharps (middlings) and other residues, derived from the sifting, milling or other working of corn (maize)",230210,230210,2023010,"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2",1.0,1.0,0.0
67029060,"Artificial flowers, foliage, fruit and parts thereof, and articles therefrom, of materials nesi",6702.90,670290,2062900,"Edible offal of bovine animals, except tongues or livers, frozen",1.0,1.0,0.0
84834070,"Speed changers other than fixed, multiple and variable ratio speed changers",8483409000,8483409000,84349000,Parts for milking machines and dairy machinery,1.0,1.0,0.0
38239033,"Chemical mixtures nesi, of two or more inorganic compounds, of mercury",3824.99.92,38249992,38249919,"Cultured crystals, weighing not less than 2.5g each except in the form of ingots",0.0,0.0,0.0
20060040,"Pineapples, preserved by sugar (drained, glace or crystallized)",2008.20.00,20082000,20082000,"Pineapples, otherwise prepared or preserved, nesoi",0.0,0.0,0.0
90222100,"Apparatus based on the use of alpha, beta or gamma radiations, for medical, surgical, dental or veterinary use",902290,902290,9022090,"Green tea in packages over 3 kg, not flavored",1.0,0.0,0.0
52054200,"Multiple or cabled cotton yarn, 85% or more cotton by weight, of combed fibers, yarn over 14 but n/o 43 nm, not put up for retail sale",520523,520523,3052020,"Sturgeon roe, dried, smoked, salted or in brine",1.0,0.0,0.0
29182320,"Odoriferous or flavoring compounds of other esters of salicyclic acid and their salts, nesi",330210,330210,60033010,"Warp knit open-worked fabrics of synthetic fibers, width not exceeding 30 cm, other than those of heading 6001 or 6002",0.0,0.0,0.0
15162010,"Rapeseed oil, hydrogenated or hardened",1514.19.30,15141930,15141900,"Low erucic acid rapeseed or colza oil, other than crude, and their fractions, whether or not refined, but not chemically modified",0.0,0.0,0.0
8012000,"Brazil nuts, shelled or in shell, fresh or dried",0801.21,80121,8012100,"Brazil nuts, fresh or dried, in shell",1.0,0.0,0.0
72112910,"Flat-rolled iron/nonalloy steel products, nesi, under 300mm wide, hot-rolled, not clad, plated or coated, over 1.25mm but n/o 4.75mm thick",721113,721113,70072111,"Laminated safety glass windshields, of size and shape suitable for incorporation in vehicles (o/t for 8701-8705), aircraft, spacecraft or vessels",1.0,0.0,0.0
85184020,"Audio-frequency electric amplifiers, other than for use as repeaters in line telephony",85184000,85184000,84184000,"Freezers of the upright type, not exceeding 900 liters capacity, electric or other",1.0,1.0,0.0
85079080,"Parts of storage batteries, including separators therefor, other than parts of lead-acid storage batteries",85079080,85079080,85079080,"Parts of storage batteries, including separators therefor, other than parts of lead-acid storage batteries",1.0,1.0,1.0
39169030,"Monafilament nesi, of plastics, excluding ethylene, vinyl chloride and acrylic polymers",3916.90.50,39169050,39169050,"Rods, sticks and profile shapes, at most surface-worked, of plastics, nesoi",1.0,1.0,0.0
48052100,"Uncoated multi-ply paper and paperboard, each layer bleached, in rolls or sheets",480255,480255,2089025,"Frog legs, fresh, chilled or frozen",0.0,0.0,0.0
95069940,Toboggans; bobsleds and luges of a kind used in international competition,9506.99.60,95069960,95069960,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi",1.0,1.0,0.0
3022900,"Flat fish, nesi, fresh or chilled, excluding fillets, other meat portions, livers and roes",03022100,3022100,3022100,"Halibut and Greenland turbot, fresh or chilled, excluding fillets, other meat portions, livers and roes",1.0,0.0,0.0
12021000,"Peanuts, not roasted or otherwise cooked, in shell",12021000,12021000,10021000,"Rye, seed",1.0,1.0,1.0
65010030,"Hat forms, hat bodies and hoods, neither blocked to shape nor with made brims, and plateaux and manchons, of fur felt, for men or boys",65010000,65010000,5010000,"Human hair, unworked, whether or not washed and scoured; waste of human hair",1.0,1.0,0.0
61081100,"Women's or girls' slips and petticoats, knitted or crocheted, of man-made fibers",610822,610822,4061002,"Chongos, unripened or uncured cheese, including whey cheese and curd, subject to gen. note 15 of the HTS",1.0,0.0,0.0
53059900,"Vegetable textile fibers nesi, processed but not spun; tow, noils and waste of these fibers (including yarn waste and garnetted stock)",5303.00,530300,70053000,"Float glass & surface ground or polished glass, wired, in sheets",0.0,0.0,0.0
71141150,"Sterling silver tableware, nesi",7114.19.00,71141900,71141900,"Precious metal (o/than silver) articles, nesoi, whether or not plated or clad with other precious metal, nesoi",1.0,0.0,0.0
88024000,"Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",88024000,88024000,48024000,"Wallpaper base (hanging paper), in rolls or sheets",1.0,1.0,1.0
52085960,"Printed woven fabrics of cotton, nesi, containing 85% or more cotton by weight, weighing not more than 200 g/m2, of numbers 43 to 68",520852,520852,3052020,"Sturgeon roe, dried, smoked, salted or in brine",1.0,0.0,0.0
85354000,"Lightning arrestors, voltage limiters and surge suppressors, for a voltage exceeding 1,000 V",85354000,85354000,85354000,"Lightning arrestors, voltage limiters and surge suppressors, for a voltage exceeding 1,000 V",1.0,1.0,1.0
52081160,"Woven cotton fabric, 85% or more cotton by weight, plain weave, not over 100 g/m2, unbleached, of number 69 or over, for typewriter ribbon",520821,520821,3052020,"Sturgeon roe, dried, smoked, salted or in brine",1.0,0.0,0.0
8101040,"Strawberries, fresh, if entered during the period from September 16 through the following June 14, inclusive",08061000,8061000,2061000,"Edible offal of bovine animals, fresh or chilled",0.0,0.0,0.0
14019040,"Lime bark, raffia, reeds, rushes, cleaned, bleached or dyed cereal straw, other vegetable materials nesi, used primarily for plaiting",1401.90.00,14019000,12019000,"Soybeans, whether or not broken, other than seed",1.0,1.0,0.0
28211000,Iron oxides and hydroxides,28211000,28211000,28211000,Iron oxides and hydroxides,1.0,1.0,1.0
29042030,"5-tert-Butyl-2,4,6-trinitro-m-xylene (Musk xylol) and other artificial musks",33029000,33029000,33029010,"Mixtures of or with a basis of odoriferous substances, used in other than the food or drink industries, zero to 10% alcohol by weight",0.0,0.0,0.0
55113000,"Yarn (other than sewing thread) of artificial staple fibers, put up for retail sale",550810,550810,1051500,"Live guinea fowls, weighing not more than 185 g each",0.0,0.0,0.0
6021000,Unrooted cuttings and slips of live plants,06021000,6021000,6021000,Unrooted cuttings and slips of live plants,1.0,1.0,1.0
6011085,"Lily of the valley pips, dormant",06012000,6012000,6012010,"Hyacinth bulbs, without soil attached, in growth or in flower",0.0,0.0,0.0
40051000,"Rubber, unvulcanized, compounded with carbon black or silica, in primary forms or in plates, sheets or strip",4005.10.00,40051000,40051000,"Rubber, unvulcanized, compounded with carbon black or silica, in primary forms or in plates, sheets or strip",1.0,1.0,1.0
78011000,"Refined lead, unwrought",7801.10.00,78011000,78011000,"Refined lead, unwrought",1.0,1.0,1.0
29337930,"N-Vinyl-2-pyrrolidone, monomer",29241900,29241900,29021900,"Cyclanic hydrocarbons (except cyclohexane), cyclenic hydrocarbons and cycloterpenes",0.0,0.0,0.0
65040030,"Hats and other headgear, plaited or assembled of strips of vegetable fibers, of unspun fibrous vegetable materials, and/or paper yarn, sewed",650500,650500,30065000,First-aid boxes and kits,0.0,0.0,0.0
84719960,"Units, nesi, suitable for physical incorporation into automatic data processing machines or units thereof",8473.30.00,84733000,28433000,Gold compounds,0.0,0.0,0.0
84513000,Ironing machines and presses (including fusing presses) for textile fabrics or made up textile articles,84513000,84513000,84513000,Ironing machines and presses (including fusing presses) for textile fabrics or made up textile articles,1.0,1.0,1.0
84381000,"Bakery machinery and machinery for the manufacture of macaroni, spaghetti or similar products, nesi",843810,843810,3038100,"Dogfish and other sharks, frozen, excluding fillets, livers, roes and fish meat of 0304",1.0,1.0,0.0
83112000,"Cored wire of base metal, for electric arc-welding",8311.30.00,83113000,81130000,Cermets (including waste & scrap) and articles thereof,1.0,0.0,0.0
29141110,"Acetone, derived in whole or in part from cumene",29141100,29141100,29121100,Methanal (Formaldehyde),1.0,1.0,0.0
85471040,"Ceramic insulators to be used in the production of spark plugs for natural gas fueled, stationary, internal-combustion engines",85471000,85471000,54071000,Woven fabrics obtained from high tenacity yarn of nylon or other polyamides or of polyesters,1.0,1.0,0.0
75071200,Tubes and pipes of nickel alloys,75071200,75071200,75071200,"Nickel alloy, tubes and pipes",1.0,1.0,1.0
95072040,"Fish hooks, snelled",9507.30.00,95073000,39073000,Epoxide resins in primary forms,1.0,0.0,0.0
90251140,"Liquid-filled thermometers, for direct reading, not combined with other instruments, other than clinical thermometers",90251100,90251100,29021100,Cyclohexane,1.0,1.0,0.0
39219025,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with man-made fibers, over 1.492 kg/sq m",39219099,39219099,39219019,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with textile materials, nesoi, not over 1.492 kg/sq m",1.0,1.0,0.0
24012060,"Tobacco, partly or wholly stemmed (stripped), threshed or similarly processed, from cigar leaf",240130,240130,2012010,"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",1.0,0.0,0.0
96083100,India ink drawing pens,9608.20.00,96082000,96082000,"Pens and markers, w/felt tip or other porous-tip",1.0,0.0,0.0
