Article,HTS Code,Final Predicted HS Code,Final Confidence Level,F1_2digit,F1_4digit,F1_6digit
"Balances of a sensitivity of 5 centigrams or better, with or without their weights, and parts thereof; weights suitable for use with such balances and sets of weights containing any such weights: Jewelers' balances and parts thereof",90160040.0,90160040,0.7630722522735596,1,1,1
"Barbasco or cube root, and derris, tube or tuba root: Crude",12119080.0,6011090,0.5168482065200806,0,0,0
Barium compounds: Nitrate,28342950.0,28273945,0.7137134075164795,1,0,0
Barium sulfate: Natural (Barytes): Ground,25111010.0,25111010,0.972996473312378,1,1,1
Bars of wrought iron: Alloy wrought iron,,73043130,0.6545275449752808,0,0,0
"Bars, plates, sheets, and strip, all the foregoing which are wrought, of aluminum, whether or not cut, pressed, or stamped to nonrectangular shapes: Not clad",76041050.0,76069130,0.7076588869094849,1,0,0
"Bars, rods, angles, shapes, and sections, all the foregoing which are wrought, of tin",80030000.0,80030000,0.694259524345398,1,1,1
"Base metal, in leaf: Aluminum, in leaf: Powder or flakes, in leaf: Leaves not over 30.25 square inches in area",76071930.0,76032000,0.5985647439956665,1,0,0
Basic slag,31032000.0,26180000,0.6851968765258789,0,0,0
Basil: Crude or not manufactured,12119080.0,9109920,0.5716622471809387,0,0,0
Bay rum or bay water,33030020.0,13021921,0.5099284052848816,0,0,0
"Bean cake, bean stick, miso, and similar products",20089990.0,20089991,0.7729791402816772,1,1,1
"Beet pulp, dried",23032000.0,23032000,0.7035627365112305,1,1,1
"Belting and belts, for machinery: Of vegetable fibers, or of such fibers and rubber in place of rubber or plastics: In part of rubber or plastics",,39269056,0.9097396731376648,0,0,0
"Bibles, comprising the books of the Old or New Testament, or both",,98100025,0.5171258449554443,0,0,0
Bicycles: Having both wheels over 19 inches but not over 25 inches in diameter: Valued not over $10 each,87120010.0,87120035,0.7266599535942078,1,1,1
"Biscuits, cake, cakes, wafers, and similar baked products, and puddings, all the foregoing by whatever name known, and whether or not containing chocolate, fruit, nuts or confectionery",19019025.0,19059010,0.8475925922393799,1,0,0
Blasting caps: Containing over 1 gram of explosive each,36030090.0,36034000,0.6261441111564636,1,1,0
Blue-mold cheeses: In original loaves,4064060.0,4064052,0.7619580030441284,0,0,0
"Book bindings, wholly or in part of leather",42050080.0,42050040,0.6491173505783081,1,1,1
"Bookbinding machinery, including book-sewing machines, and parts thereof",84401000.0,84409000,0.9635546803474426,1,1,0
"Bouquets, boutonnieres, corsages, wreaths, and similar ornamental articles, all the foregoing made of articles described in item 748.30 or item 748.32",,6039000,0.5382936596870422,0,0,0
Built-up mica,68141000.0,25253000,0.6238623857498169,0,0,0
"Bulbs, roots, rootstocks, clumps, corms, tubers, and barbaceous perennials: Hyacinth bulbs",6011030.0,6012010,0.8293815851211548,0,0,0
"Burrstones In blocks, rough",25132900.0,68041000,0.6783413887023926,0,0,0
"Buttons: Of acrylic resin, of polyester resin, or of both such resins",96062140.0,96062920,0.9292185306549072,1,1,0
Buttons: Of pearl or shell: If product of the Philippines: If Philippine articles with tariff-rate quota (see headnote 3 of this sub-part),,96062940,0.6105454564094543,0,0,0
Calcium carbonate: Natural: Chalk whiting,25090020.0,28365000,0.7554044127464294,0,0,0
Calcium compounds: Chloride: Crude,28272000.0,28272000,0.8422948718070984,1,1,1
Calcium compounds: Hypochlorite,28281000.0,28281000,0.9236633777618408,1,1,1
"Calcium compounds: Lime, chlorinated, containing not more than 40% of available chlorine (bleaching powder)",28281000.0,28281000,0.737913966178894,1,1,1
Calcium cyanamide or lime nitrogen,31027000.0,28342910,0.711843729019165,0,0,0
"Calendering and similar rolling machines (except metal-working and metal-rolling machines and glass-working machines), parts thereof: Textile calendering and rolling machines, and parts thereof",84201010.0,84201010,0.8487854599952698,1,1,1
"Canoes, racing shells, pneumatic craft, and pleasure boats not specially provided for which are not of a type designed to be chiefly used with motors or sails; and parts of the foregoing: Pneumatic craft",89031000.0,39269030,0.687935471534729,0,0,0
"Carving and butcher steels, with or without their handles: With wood handles",82055115.0,82055115,0.8956078290939331,1,1,1
"Cased pencils, and pencils not specially provided for",96091000.0,96091000,0.6686263084411621,1,1,1
Castor beans.,12073000.0,12073000,0.6086093187332153,1,1,1
Cement of gypsum: Valued over $40 per ton,25202000.0,68101912,0.4858341813087463,0,0,0
Ceramic tiles: Floor and wall tiles: Mosaic tiles,,69139020,0.7352117300033569,0,0,0
"Chicory roots (provided for in part 11A, schedule 1): Crude (item 160.30)",,12129400,0.7482025027275085,0,0,0
Chlorinated natural rubber,39139010.0,39119070,0.9385932087898254,1,0,0
"Cigarette paper, cut to size or shape, cigarette books, and cigarette bookcovers",48131000.0,48131000,0.8274350166320801,1,1,1
Cinnamon and cinnamon chips: Not ground,,9061900,0.6792818307876587,0,0,0
"Citrus fruits, fresh or prepared, etc. (con.): Limes: Fresh or in brine",8053040.0,8055040,0.7506011724472046,0,0,0
Citrus juices unfit for beverage purposes,20093010.0,8129020,0.6986889839172363,0,0,0
"Cloth, gauze, fabric, screen, etc. (con.): Cut to shape: Of copper",74141090.0,74151000,0.6414900422096252,1,0,0
Cloth-lined or reinforced paper,48079920.0,48070092,0.8284595012664795,1,1,0
Clothespins: Spring type: If products of Cuba,,39269070,0.7293447852134705,0,0,0
Cloves and clove stems: Not ground,9070000.0,9071000,0.7716453671455383,0,0,0
Cobalt compounds: Sulfate,28332910.0,28332910,0.8959020376205444,1,1,1
Cocoa beans,18010000.0,18010000,0.7512769103050232,1,1,1
"Columbium, unwrought and wrought; columbium waste and scrap: Unwrought, alloys",,81129240,0.7484076023101807,0,0,0
"Compound optical microscopes; electron, proton,and similar microscopes and diffraction apparatus; all the foregoing whether ornotprovided with means for photographing or projecting the image; frames and mountings for the foregoing articles, and parts of such frames and mountings: Compound optical microscopes: Not provided with means for photographing or projecting the image: Valued not over $25 each",90111080.0,90118000,0.7555972337722778,1,1,0
"Compound optical microscopes; electron, proton,and similar microscopes and diffraction apparatus; all the foregoing whether ornotprovided with means for photographing or projecting the image; frames and mountings for the foregoing articles, and parts of such frames and mountings: Compound optical microscopes: Not provided with means for photographing or projecting the image: Valued over $25 but not over $50 each",90111080.0,90118000,0.7604759931564331,1,1,0
Copper compounds: Oxide (cupric),28255010.0,28274100,0.7321295738220215,1,0,0
Copper powders and flakes: Flakes,,74062000,0.8491499423980713,0,0,0
Copper waste and scrap: Nickel silver,74040000.0,75030000,0.8366457223892212,0,0,0
"Copra (provided for in part 14A, schedule 1): Entered when no special proclamation issued pursuant to headnote 1 of part 14 of schedule 1 is in effect (item 175.10)",,15131100,0.6854431629180908,0,0,0
"Copra:  Entered on or before July 3, 1974, when no such special proclamation is in effect: If produced elsewhere than in the Philippines or the Trust Territory wholly of materials the growth or production thereof",,15131100,0.6644359230995178,0,0,0
Cordage: Of silk,56079020.0,50020000,0.6598533987998962,0,0,0
Cordage: Of vegetable fibers: Of cotton: Not of stranded construction,56079020.0,56090020,0.7521343231201172,1,0,0
Cordage: Of vegetable fibers: Of hard (leaf) fibers: Not of stranded construction: Binder twine and baler twine,56072100.0,56072900,0.7397563457489014,1,1,0
Cordage: Of vegetable fibers: Of hard (leaf) fibers: Of coir:  Of stranded construction,56079010.0,56090020,0.7161333560943604,1,0,0
"Cordial, liqueurs, kirschwasser, and ratafia",,22089046,0.7197157144546509,0,0,0
"Cork, granulated or ground, Weighing not over 6 pounds per cubic foot uncompressed, except regranulated cork",45019040.0,45019040,0.7260351181030273,1,1,1
"Corset lacings, footwear lacings, or similar lacings, of textile materials: Braided, with or without cores",63079050.0,63079050,0.917141318321228,1,1,1
"Cotters, cotter pins, and fasteners or holders (except nuts) used with screws, bolts, or studs, all the foregoing of base metal",73182300.0,74152900,0.7055083513259888,0,0,0
"Cotton, not carded, not combed, and not similarlyprocessed: 1/ : Having a staple length 1-1/8 or more but under 1-11/16 inches",,52010014,0.8962345123291016,0,0,0
"Croquet equipment, and parts thereof",95066960.0,95065980,0.6748074889183044,1,1,0
"Crown corks and bottle caps, of base metal",83091000.0,83091000,0.8564739227294922,1,1,1
"Crude petroleum (including reconstituted crude petroleum); topped crude petroleum; crude shale oil; and distillate and residual fuel oils (including blended fuel oils) derived from petroleum, sliale, or both, with or without additives: Testing under 25 degrees A.P.I.",27090010.0,27101911,0.761917233467102,1,0,0
Cryolite or kryolith,25270000.0,25309010,0.720098614692688,1,0,0
Cummin,9093000.0,29027000,0.7026499509811401,0,0,0
"Curling stones, and parts thereof",95069960.0,71162030,0.5472477674484253,0,0,0
"Cut natural flowers, dried, bleached, colored, or chemically treated",6039000.0,6039000,0.8043090105056763,0,0,0
Cuttlefish bone.............,5080000.0,16055405,0.5887029767036438,0,0,0
"Cyclic organic chemical products in any physical form having a benzenoid, quinoid, or modified benzenoid structure, not provided for in subpart A or C of this part: All distillates of coal tar, blast-furnace tar, oil-gas tar, and water-gas tar, which on being subjected to distillation yield in the portion distilling below 190°C. a quantity of tar acids equal to or more than 5% by weight of the original distillate or which on being subjected to distillation yield in the portion distilling below 215°C. a quantity of tar acids equal to or more than 75% by weight of the original distillate: Cresylic acid which on being subjected to distillation yields in the portion distilling below 215°C. a quantity of tar acids equal to or more than 75% by weight of the original distillate",,27079990,0.6324820518493652,0,0,0
"Cyclic organic chemical products in any physical form having a benzenoid, quinoid, or modified benzenoid structure, not provided for in subpart A or C of this part: All distillates of coal tar, blast-furnace tar, oil-gas tar, and water-gas tar, which on being subjected to distillation yield in the portion distilling below 190°C. a quantity of tar acids equal to or more than 5% by weight of the original distillate or which on being subjected to distillation yield in the portion distilling below 215°C. a quantity of tar acids equal to or more than 75% by weight of the original distillate: Metacresol, orthocresol, paracresol, and metaparacresol, all the foregoing having a purity of 75% or more by weight",,27079955,0.7083712816238403,0,0,0
"Cylinder wires, suitable for use in paper-making machines (whether or not parts of, or fitted or attached to, such machines), and woven-wire cloth suitable for use in the manufacture of Fourdrinier wires or cylinder wires suitable for use in paper-making machines: Having more than 55 meshes per lineal inch in warp or filling",73141120.0,73141460,0.8024600744247437,1,1,0
Decalcomanias (except toy decalcomanias): In ceramic colors: Weight not over 100 pounds per 1000 sheets (on the basis of 20 by 30 inches in dimensions),,48044140,0.5435782670974731,0,0,0
Dextrose,17023040.0,35051000,0.5891721248626709,0,0,0
"Dibasic-acid esters, ethers, amides and amines, all
 the foregoing sulfonated or sulfated",29091950.0,29359032,0.6265813112258911,1,0,0
"Disks, wafers, washers, and stoppers, all the foregoing, of cork: Tapered and of a thickness (or length) greater than the maximum diameter: Not hollow and not perforated:  With maximum diameter over 0.75 inch",,45031020,0.7636387348175049,0,0,0
"Drainage tools, scoops, shovels, spades, picks, mattocks, hoes, rakes, and forks; axes, adzes, hatchets, machetes, and similar hewing tools; scythes, sickles, grass hooks, corn knives, hay knives, hedge and grass shears, pruning shears and sheep shears; all the foregoing which are hand tools, and metal parts thereof: Forks, and parts thereof: Agricultural or horticultural forks, and parts thereof (except hay and manure forks)",82012000.0,82019040,0.8028547763824463,1,1,0
"Electric filament lamps and electric discharge lamps, including ultra-violet and infra-red lamps and photo-flash lamps; electric luminescent lamps; and arc lamps: Electric luminescent lamps",85414020.0,85393990,0.6766360998153687,1,0,0
"Electric filament lamps and electric discharge lamps, including ultra-violet and infra-red lamps and photo-flash lamps; electric luminescent lamps; and arc lamps: Filament lamps: Christmas-tree lamps",85392240.0,94053100,0.6938573122024536,0,0,0
"Electric filament lamps and electric discharge lamps, including ultra-violet and infra-red lamps and photo-flash lamps; electric luminescent lamps; and arc lamps: Filament lamps: Photo-flash lamps",90066200.0,85437071,0.6489694118499756,0,0,0
"Electrical articles, and electrical parts of articles, not specially provided for",,84879000,0.6027253866195679,0,0,0
"Electrical capacitors, fixed or variable",85321000.0,85329000,0.8265628814697266,1,1,0
"Electro-plating anodes, wrought or cast, of nickel",75080050.0,74020000,0.5806753635406494,0,0,0
Electronic musical instruments,,92059014,0.7340055108070374,0,0,0
"Enzymes and ferments: Brewers' yeast, dried, ficin, and papain, all the foregoing, if crude",13021990.0,21022040,0.7328653335571289,0,0,0
Epoxides and halogenated epoxides: Propylene oxide,29102000.0,29109010,0.6305763125419617,1,1,0
Ergot,12119080.0,29396900,0.5808876752853394,0,0,0
Esters of monohydric alcohols: Amyl acetate,29153950.0,29153947,0.7142010927200317,1,1,1
Ethers of monohydric alcohols: Vinyl,29091910.0,29091918,0.7049684524536133,1,1,1
"Expanded, foamed, or sponge rubber or plastics, and articles not specially provided for wholly or almost wholly of such rubber or plastics: Flexible: Of cellulose",39211400.0,40081980,0.6738578081130981,0,0,0
Explosive substances not specially provided for,36020000.0,36020000,0.7234716415405273,1,1,1
"Fatty substances derived from coconut, palm-kernel, or palm oil (provided for in part 8A, schedule 4): Not sulfonated or sulfated: Fatty-acid esters, ethers, and ether-esters of polyhydric alcohols (item 465.05)",,38231920,0.6861861944198608,0,0,0
"Fatty substances derived from coconut, palm-kernel, or palm oil (provided for in part 8A, schedule 4): Sulfonated or sulfated: Fatty-acid esters, ethers, amides, and
 amines (item 465.55)",,38231920,0.7267926335334778,0,0,0
"Fatty substances, not sulfonated or sulfated, and not specially provided for: Fatty acids: Of animal (including marine animal) origin: Oleic acid",15191200.0,28070000,0.7045407295227051,0,0,0
Ferroalloys: Ferrochromium: Not containing over 3 percent by weight of carbon,,72024950,0.916737139225006,0,0,0
Ferronickel,,72026000,1.0,0,0,0
"Fibers of wool or hair processed in any manner beyond the washed, scoured, or carbonized condition (including tops), but not spun: Tops",51052900.0,61143010,0.7472786903381348,0,0,0
"Figs, fresh or prepared or preserved: Dried",,8042080,0.8751709461212158,0,0,0
"Figs, fresh or prepared or preserved: Fresh or in brine",8042040.0,8042080,0.7860736846923828,0,0,0
"Firewood, hogged-wood fuel and wood waste made into fuel by compression, whether or not containing an added binder: Fuel containing an added binder",44011000.0,44013942,0.6221188306808472,1,1,0
"Fish, prepared or preserved in any manner, in oil, in airtight containers: Bonito and yellowtail",16041470.0,16041932,0.8747305870056152,1,1,0
"Fish, prepared or preserved in any manner, in oil, in airtight containers: Sardines: Valued over 23 but not over 30 cents per pound (including weight of immediate container): Skinned or boned",16041330.0,16041310,0.7519651651382446,1,1,1
"Fish, prepared or preserved in any manner, not in oil, in airtight containers: Anchovies: In containers weighing with their contents not over 15 pounds each",3056320.0,16041640,0.8519988059997559,0,0,0
"Fish, prepared or preserved in any manner, not in oil, in airtight containers: Bonito and yellowtail",16041480.0,16041932,0.8800942897796631,1,1,0
"Fish, prepared or preserved in any manner, not in oil, in airtight containers: Pollock: Product of Cuba (except smoked pollock)",,16041932,0.7626699209213257,0,0,0
Fishing reels and parts thereof: Reels: Valued over $8.45 each,95073060.0,95073060,0.939181923866272,1,1,1
"Fishing rods, and parts thereof",95071000.0,95071000,0.9550966024398804,1,1,1
"Floor coverings of pile or tufted construction, of textile materials:In which the pile was inserted or knotted during weaving or knitting: With pile not hand-inserted and not handknotted: Of coir",57022010.0,57023920,0.7668695449829102,1,1,0
"Footwear, of leather (except footwear with uppers of fibers): Turn or turned footwear",64035190.0,64035915,0.7939618825912476,1,1,0
"Footwear, of leather (except footwear with uppers of fibers): Welt footwear: Valued over $2 but not over $6.80 per pair",64039130.0,64039990,0.7837064266204834,1,1,0
Forged steel grinding balls,,73261100,0.8429892063140869,0,0,0
"Forks and spoons, of wood: Of mahogony ( Swietenia app. or Khaya app.)",44190040.0,44192090,0.6896911859512329,1,1,0
"Forks, spoons, and ladles, all the foregoing which are kitchen or table ware, with or without their handles: Forks: With their handles: With silver handles",71141120.0,71141145,0.6969329118728638,1,1,1
"Forks, spoons, and ladles, all the foregoing which are kitchen or table ware, with or without their handles: Spoons and ladles: With stainless steel handles 1/",82159930.0,82159940,0.7122125029563904,1,1,1
"Forks, spoons, and ladles, all the foregoing which are kitchen or table ware, with or without their handles: Spoons and ladles: With sterling silver handles",71141130.0,71141130,0.821984589099884,1,1,1
"Fourdrinier wires, seamed or not seamed, suitable for use in paper-making machines (whether or not parts of, or fitted or attached to, such machines)",,73141260,0.759087860584259,0,0,0
"Fruit juices, including mixed fruit juices, concentrated, not concentrated, whether or not sweetened: Mixed or not mixed, containing over 1.0 percent of ethyl alcohol by volume",22043000.0,20099040,0.7155735492706299,0,0,0
"Fruit juices, including mixed fruit juices, concentrated, not concentrated, whether or not sweetened: Not mixed and not containing over 1.0 percent of ethyl alcohol by volume: Pineapple: Not concentrated, or having a degree of concentration of not more than 3.5 degrees (as determined before correction to the nearest 0.5 degree)",20094020.0,20094140,0.7347439527511597,1,1,0
"Fruit pastes and fruit pulps: Cashew apple, mamey colorado ,papaya, sapodilla, soursop and sweetsop",,20089923,0.7462020516395569,0,0,0
"Fruit pastes and fruit pulps: Cashew apple, mamey colorado ,papaya, sapodilla, soursop and sweetsop: If product of Cuba",,20089923,0.6759653091430664,0,0,0
Fruit pastes and fruit pulps: Fig,8042080.0,8042080,0.7814949154853821,0,0,0
Fruit pastes and fruit pulps: Guava: If product of Cuba,,20079950,0.7185394763946533,0,0,0
Fruit pastes and fruit pulps: Guavas,17049020.0,20079950,0.8006736636161804,0,0,0
"Gall nuts, crude or processed",14041000.0,8029290,0.6467103362083435,0,0,0
Garden and field seeds: Clover: Crimson,12092240.0,12092220,0.6810799837112427,1,1,1
Garden and field seeds: Clover: Red,12092240.0,12092240,0.7246275544166565,1,1,1
Garden and field seeds: Fescue: Creeping Red,12092300.0,12092300,0.7653765678405762,1,1,1
Garden and field seeds: Kohlrabi,12099180.0,12093000,0.5956588983535767,1,1,0
Garden and field seeds: Timothy,12092600.0,10031000,0.6764729619026184,0,0,0
Garden and field seeds: Turnip and rutabags,12099180.0,7133110,0.5872774124145508,0,0,0
"Garters, garter belts, and suspenders, of textile materials, or of such materials and rubber or plastics: Of vegetable fibers or of such fibers and rubber or plastics",62129000.0,61046920,0.6533944606781006,0,0,0
"Generators, motors, motor-generators, converters (rotary or static), transformers, rectifiers and rectifying apparatus, and inductors; all the foregoing which are electrical goods, and parts thereof: Motors: Of over 1/10 but under 200 horsepower",,85094000,0.6266143918037415,0,0,0
"Generators, motors, motor-generators, converters (rotary or static), transformers, rectifiers and rectifying apparatus, and inductors; all the foregoing which are electrical goods, and parts thereof: Parts of motors of under 1/40 horsepower",85030040.0,84689050,0.653895378112793,0,0,0
"Glass (including blown or drawn glass, etc.) (con.): Ordinary glass (con.): Weighing over 28 oz. per sq. ft.: Not over 2-2/3 sq. ft. in area (item 542.42)",,70052914,0.5838454365730286,0,0,0
Glass electric insulators with or without fittings: Without metal fittings,,85461000,0.810335636138916,0,0,0
"Glass, in the mass; glass, crushed, powdered, or flaked (frostings); and waste or scrap glass; all the foregoing except glass provided for in item 540.21 and 540.27: Waste or scrap glass",70010050.0,70010051,0.6589306592941284,1,1,1
"Gloves and glove linings, etc. (con.): Gloves not of lace or net, etc. (con.): Of silk: Not knit",62160060.0,61169288,0.7583707571029663,0,0,0
